match_id,date,is_home,team_id,team_name,result,opponent_id,opponent_name,team_xG,team_goals,team_ppda_att,team_ppda_def,team_deep,team_xpts,team_npxG,opponent_xG,opponent_goals,opponent_ppda_att,opponent_ppda_def,opponent_deep,opponent_npxG,team_shots,opponent_shots,team_win_odds_open,draw_odds_open,opponent_win_odds_open
Bundesliga 2025_119_120_2025-08-23 13:30:00,2025-08-23 13:30:00,True,119,Bayer Leverkusen,l,120,Hoffenheim,1.05253,1,227,15,3,1.8981999999999999,1.05253,0.505193,2,363,23,6,0.505193,7,10,1.56,4.74,5.46
Bundesliga 2025_119_123_2025-08-30 13:30:00,2025-08-30 13:30:00,False,119,Bayer Leverkusen,d,123,Werder Bremen,2.03733,3,279,17,7,1.1542,1.27955,2.32676,3,371,20,10,1.56899,10,12,1.94,3.87,3.82
Bundesliga 2025_119_132_2025-09-12 18:30:00,2025-09-12 18:30:00,True,119,Bayer Leverkusen,w,132,Eintracht Frankfurt,2.31465,3,243,23,3,2.4535,1.55687,0.791863,1,178,18,2,0.791863,18,13,2.16,3.83,3.29
Bundesliga 2025_119_130_2025-09-21 15:30:00,2025-09-21 15:30:00,True,119,Bayer Leverkusen,d,130,Borussia M.Gladbach,1.9461,1,258,23,9,1.8709,1.9461,1.29876,1,395,27,8,1.29876,13,13,1.56,4.77,5.33
Bundesliga 2025_119_288_2025-09-27 13:30:00,2025-09-27 13:30:00,False,119,Bayer Leverkusen,w,288,St. Pauli,1.28912,2,266,14,3,1.8043,1.28912,0.813325,1,340,31,4,0.813325,5,13,2.24,3.55,3.28
Bundesliga 2025_119_240_2025-10-04 13:30:00,2025-10-04 13:30:00,True,119,Bayer Leverkusen,w,240,Union Berlin,3.35673,2,140,22,7,2.6786,3.35673,1.19684,0,527,21,4,1.19684,20,10,1.7,4.1,4.88
Bundesliga 2025_119_125_2025-10-18 13:30:00,2025-10-18 13:30:00,False,119,Bayer Leverkusen,w,125,Mainz 05,4.43462,4,184,17,15,2.7680000000000002,3.67685,1.62978,3,337,31,10,0.872003,20,12,2.56,3.46,2.83
Bundesliga 2025_119_135_2025-10-26 13:30:00,2025-10-26 13:30:00,True,119,Bayer Leverkusen,w,135,Freiburg,2.46787,2,194,18,7,2.6694000000000004,2.46787,0.542897,0,429,15,4,0.542897,19,10,1.84,3.92,4.2
Bundesliga 2025_117_119_2025-11-01 17:30:00,2025-11-01 17:30:00,False,119,Bayer Leverkusen,l,117,Bayern Munich,0.382774,0,287,10,5,0.211,0.382774,2.28295,3,305,32,11,2.28295,7,18,10.66,7.43,1.23
Bundesliga 2025_119_280_2025-11-08 14:30:00,2025-11-08 14:30:00,True,119,Bayer Leverkusen,w,280,FC Heidenheim,3.90142,6,227,15,10,2.9938,3.90142,0.063377,0,415,10,1,0.063377,25,1,1.41,5.1,7.57
Bundesliga 2025_119_131_2025-11-22 14:30:00,2025-11-22 14:30:00,False,119,Bayer Leverkusen,w,131,Wolfsburg,1.58644,3,226,16,10,1.0338,1.58644,2.07979,1,473,32,6,2.07979,7,21,2.02,3.82,3.59
Bundesliga 2025_119_129_2025-11-29 17:30:00,2025-11-29 17:30:00,True,119,Bayer Leverkusen,l,129,Borussia Dortmund,1.08287,1,193,9,6,1.2893,1.08287,1.1562,2,392,21,3,1.1562,14,7,2.54,3.77,2.67
Bundesliga 2025_119_121_2025-12-06 14:30:00,2025-12-06 14:30:00,False,119,Bayer Leverkusen,l,121,Augsburg,1.41889,0,197,19,13,0.9011,1.41889,2.14102,2,383,13,6,2.14102,20,13,1.93,3.94,3.82
Bundesliga 2025_119_134_2025-12-13 17:30:00,2025-12-13 17:30:00,True,119,Bayer Leverkusen,w,134,FC Cologne,2.295,2,233,20,5,2.6169,2.295,0.436565,0,274,11,4,0.436565,17,6,1.57,4.68,5.33
Bundesliga 2025_119_136_2025-12-20 17:30:00,2025-12-20 17:30:00,False,119,Bayer Leverkusen,w,136,RasenBallsport Leipzig,2.70478,3,271,15,10,1.8913,2.70478,1.93929,1,387,23,7,1.93929,15,19,3.28,3.8,2.15
Bundesliga 2025_119_133_2026-01-10 17:30:00,2026-01-10 17:30:00,True,119,Bayer Leverkusen,l,133,VfB Stuttgart,1.98318,1,216,14,9,0.8753000000000001,1.22541,2.68822,4,340,27,7,1.93044,16,10,1.95,4.05,3.63
Bundesliga 2025_119_120_2026-01-17 14:30:00,2026-01-17 14:30:00,False,119,Bayer Leverkusen,l,120,Hoffenheim,1.27048,0,160,16,6,0.768,1.27048,2.11995,1,343,31,9,2.11995,8,19,2.7,3.8,2.4
Bundesliga 2025_119_123_2026-01-24 14:30:00,2026-01-24 14:30:00,True,119,Bayer Leverkusen,w,123,Werder Bremen,2.51599,1,330,17,6,2.6257,2.51599,0.673986,0,317,29,11,0.673986,13,17,1.62,4.2,5.25
