match_id,date,is_home,team_id,team_name,result,opponent_id,opponent_name,team_xG,team_goals,team_ppda_att,team_ppda_def,team_deep,team_xpts,team_npxG,opponent_xG,opponent_goals,opponent_ppda_att,opponent_ppda_def,opponent_deep,opponent_npxG,team_shots,opponent_shots,team_win_odds_open,draw_odds_open,opponent_win_odds_open
EPL 2025_71_86_2025-08-16 11:30:00,2025-08-16 11:30:00,True,71,Aston Villa,d,86,Newcastle United,0.318601,0,227,12,2,0.42579999999999996,0.318601,1.40098,0,146,24,6,1.40098,3,16,2.24,3.72,3.13
EPL 2025_244_71_2025-08-23 14:00:00,2025-08-23 14:00:00,False,71,Aston Villa,l,244,Brentford,0.976852,0,92,17,14,1.1286999999999998,0.976852,1.12964,1,302,28,2,1.12964,17,9,2.27,3.49,3.26
EPL 2025_71_78_2025-08-31 18:00:00,2025-08-31 18:00:00,True,71,Aston Villa,l,78,Crystal Palace,1.20586,0,222,21,6,0.3812,1.20586,2.59713,3,288,15,5,1.83596,13,6,1.9,3.69,4.21
EPL 2025_71_72_2025-09-13 14:00:00,2025-09-13 14:00:00,False,71,Aston Villa,d,72,Everton,0.354327,0,159,19,3,0.3143,0.354327,1.8927,0,191,27,10,1.8927,7,20,3.01,3.41,2.46
EPL 2025_71_77_2025-09-21 13:00:00,2025-09-21 13:00:00,False,71,Aston Villa,d,77,Sunderland,0.939354,1,112,16,16,1.33,0.939354,0.938312,1,227,23,4,0.938312,12,14,2.14,3.37,3.71
EPL 2025_228_71_2025-09-28 13:00:00,2025-09-28 13:00:00,True,71,Aston Villa,w,228,Fulham,1.36575,3,243,14,6,1.7306,1.36575,0.952612,1,249,18,4,0.952612,9,11,2.3,3.15,3.55
EPL 2025_71_92_2025-10-05 13:00:00,2025-10-05 13:00:00,True,71,Aston Villa,w,92,Burnley,1.73572,2,229,18,8,2.3255,1.73572,0.502292,1,328,42,1,0.502292,15,5,1.6,3.99,6.21
EPL 2025_71_82_2025-10-19 13:00:00,2025-10-19 13:00:00,False,71,Aston Villa,w,82,Tottenham,0.352231,2,232,18,2,0.4064,0.352231,1.51461,1,205,27,5,1.51461,8,9,3.5,3.77,2.07
EPL 2025_71_88_2025-10-26 13:00:00,2025-10-26 13:00:00,True,71,Aston Villa,w,88,Manchester City,0.843906,1,246,11,8,0.9462999999999999,0.843906,1.36914,0,287,28,11,1.36914,9,18,4.24,4.06,1.81
EPL 2025_71_87_2025-11-01 20:00:00,2025-11-01 20:00:00,False,71,Aston Villa,l,87,Liverpool,0.43502,0,257,16,6,0.5414,0.43502,1.47021,2,219,20,12,1.47021,10,16,5.07,4.21,1.66
EPL 2025_71_73_2025-11-09 14:00:00,2025-11-09 14:00:00,True,71,Aston Villa,w,73,Bournemouth,1.88282,4,168,29,10,1.2654999999999998,1.88282,2.00992,0,184,27,6,1.24875,16,13,2.25,3.49,3.29
EPL 2025_245_71_2025-11-23 14:00:00,2025-11-23 14:00:00,False,71,Aston Villa,w,245,Leeds,1.35978,2,215,18,5,0.9681,1.35978,1.84668,1,264,36,5,1.84668,14,14,2.51,3.27,3.05
EPL 2025_229_71_2025-11-30 14:05:00,2025-11-30 14:05:00,True,71,Aston Villa,w,229,Wolverhampton Wanderers,1.15486,1,234,24,5,1.7575999999999998,1.15486,0.692588,0,215,21,3,0.692588,16,9,1.48,4.76,6.56
EPL 2025_220_71_2025-12-03 19:30:00,2025-12-03 19:30:00,False,71,Aston Villa,w,220,Brighton,3.15745,4,274,19,11,2.1954999999999996,3.15745,1.96298,3,246,41,5,1.96298,14,16,3.37,3.58,2.18
EPL 2025_71_83_2025-12-06 12:30:00,2025-12-06 12:30:00,True,71,Aston Villa,w,83,Arsenal,2.71986,2,229,17,11,1.9629,2.71986,1.85965,1,212,22,9,1.85965,15,15,4.32,3.53,1.92
EPL 2025_71_81_2025-12-14 14:00:00,2025-12-14 14:00:00,False,71,Aston Villa,w,81,West Ham,0.595093,3,228,21,3,0.6824999999999999,0.595093,1.27701,2,348,28,0,1.27701,7,10,2.05,3.57,3.76
EPL 2025_71_89_2025-12-21 16:30:00,2025-12-21 16:30:00,True,71,Aston Villa,w,89,Manchester United,1.86917,2,265,23,1,1.8699,1.86917,1.30455,1,220,38,8,1.30455,12,15,2.08,3.73,3.49
