match_id,date,is_home,team_id,team_name,result,opponent_id,opponent_name,team_xG,team_goals,team_ppda_att,team_ppda_def,team_deep,team_xpts,team_npxG,opponent_xG,opponent_goals,opponent_ppda_att,opponent_ppda_def,opponent_deep,opponent_npxG,team_shots,opponent_shots,team_win_odds_open,draw_odds_open,opponent_win_odds_open
EPL 2025_244_249_2025-08-17 13:00:00,2025-08-17 13:00:00,False,244,Brentford,l,249,Nottingham Forest,1.32516,1,167,17,3,1.0148000000000001,0.563994,1.7555,3,234,21,6,1.7555,10,11,3.4,3.38,2.25
EPL 2025_244_71_2025-08-23 14:00:00,2025-08-23 14:00:00,True,244,Brentford,w,71,Aston Villa,1.12964,1,302,28,2,1.5385,1.12964,0.976852,0,92,17,14,0.976852,9,17,3.26,3.49,2.27
EPL 2025_244_77_2025-08-30 14:00:00,2025-08-30 14:00:00,False,244,Brentford,l,77,Sunderland,1.44604,1,237,11,4,1.2650000000000001,0.684874,1.57127,2,197,38,2,0.810099,7,12,2.53,3.24,3.03
EPL 2025_244_80_2025-09-13 19:00:00,2025-09-13 19:00:00,True,244,Brentford,d,80,Chelsea,1.17533,2,323,16,8,1.7843999999999998,1.17533,0.755999,2,151,29,12,0.755999,7,16,4.63,3.95,1.76
EPL 2025_228_244_2025-09-20 19:00:00,2025-09-20 19:00:00,False,244,Brentford,l,228,Fulham,0.826556,1,283,21,3,0.7894999999999999,0.826556,1.52431,3,258,13,5,1.52431,8,14,3.92,3.44,2.05
EPL 2025_244_89_2025-09-27 11:30:00,2025-09-27 11:30:00,True,244,Brentford,w,89,Manchester United,2.78726,3,293,25,6,1.7845,2.78726,2.23609,1,194,16,1,1.47492,10,14,3.47,3.79,2.07
EPL 2025_244_88_2025-10-05 15:30:00,2025-10-05 15:30:00,True,244,Brentford,l,88,Manchester City,0.693758,0,399,30,2,0.9858,0.693758,1.09647,1,189,14,9,1.09647,6,10,4.87,4.5,1.64
EPL 2025_244_81_2025-10-20 19:00:00,2025-10-20 19:00:00,False,244,Brentford,w,81,West Ham,3.46635,2,187,15,11,2.926,3.46635,0.260251,0,266,18,4,0.260251,22,7,2.87,3.43,2.54
EPL 2025_244_87_2025-10-25 19:00:00,2025-10-25 19:00:00,True,244,Brentford,w,87,Liverpool,3.27126,3,280,20,5,2.1265,2.5101,2.11838,2,124,20,10,2.11838,17,18,4.25,4.18,1.78
EPL 2025_244_78_2025-11-01 15:00:00,2025-11-01 15:00:00,False,244,Brentford,l,78,Crystal Palace,0.820498,0,128,22,8,1.4138,0.820498,0.734558,2,310,16,5,0.734558,6,9,4.01,3.68,1.94
EPL 2025_244_86_2025-11-09 14:00:00,2025-11-09 14:00:00,True,244,Brentford,w,86,Newcastle United,2.73729,3,252,21,7,2.8235,1.97612,0.432277,1,211,19,2,0.432277,15,5,2.97,3.39,2.5
EPL 2025_220_244_2025-11-22 15:00:00,2025-11-22 15:00:00,False,244,Brentford,l,220,Brighton,2.19979,1,348,20,7,2.3872,0.677448,0.977488,2,187,25,10,0.977488,10,14,4.05,3.6,1.96
EPL 2025_244_92_2025-11-29 15:00:00,2025-11-29 15:00:00,True,244,Brentford,w,92,Burnley,3.72106,3,205,14,5,2.8943,2.9599,0.874025,1,226,19,1,0.112856,14,6,1.47,4.72,6.95
EPL 2025_244_83_2025-12-03 19:30:00,2025-12-03 19:30:00,False,244,Brentford,l,83,Arsenal,0.588716,0,281,18,3,0.19740000000000002,0.588716,2.63126,2,187,27,4,2.63126,6,15,8.75,5.41,1.35
EPL 2025_244_82_2025-12-06 15:00:00,2025-12-06 15:00:00,False,244,Brentford,l,82,Tottenham,0.470563,0,201,18,8,0.17420000000000002,0.470563,2.42388,2,203,24,8,2.42388,4,15,3.09,3.42,2.39
EPL 2025_244_245_2025-12-14 16:30:00,2025-12-14 16:30:00,True,244,Brentford,d,245,Leeds,0.697006,1,173,20,6,0.6105,0.697006,1.63409,1,293,16,9,1.63409,7,18,1.97,3.69,3.89
EPL 2025_229_244_2025-12-20 15:00:00,2025-12-20 15:00:00,False,244,Brentford,w,229,Wolverhampton Wanderers,1.56309,2,187,30,9,1.5776000000000001,1.56309,1.26823,0,293,22,6,0.507064,7,9,2.08,3.56,3.66
EPL 2025_244_73_2025-12-27 15:00:00,2025-12-27 15:00:00,True,244,Brentford,w,73,Bournemouth,2.8513,4,166,20,9,1.5703,2.8513,2.56183,1,206,30,5,2.56183,15,20,2.31,3.67,3.05
EPL 2025_244_82_2026-01-01 20:00:00,2026-01-01 20:00:00,True,244,Brentford,d,82,Tottenham,0.556304,0,213,28,3,1.2242,0.556304,0.608309,0,303,16,7,0.608309,7,9,2.18,3.49,3.48
EPL 2025_244_72_2026-01-04 15:00:00,2026-01-04 15:00:00,False,244,Brentford,w,72,Everton,3.05179,4,184,20,5,2.5972,3.05179,1.00566,2,286,26,5,1.00566,11,14,3.24,3.16,2.45
EPL 2025_244_77_2026-01-07 19:30:00,2026-01-07 19:30:00,True,244,Brentford,w,77,Sunderland,3.86096,3,227,16,13,2.7173,3.86096,1.50644,0,202,19,5,0.745273,18,11,1.85,3.63,4.56
EPL 2025_244_80_2026-01-17 15:00:00,2026-01-17 15:00:00,False,244,Brentford,l,80,Chelsea,1.47521,0,274,26,9,1.1815,1.47521,1.62263,2,305,17,1,0.861461,15,6,4.75,4.0,1.73
