match_id,date,is_home,team_id,team_name,result,opponent_id,opponent_name,team_xG,team_goals,team_ppda_att,team_ppda_def,team_deep,team_xpts,team_npxG,opponent_xG,opponent_goals,opponent_ppda_att,opponent_ppda_def,opponent_deep,opponent_npxG,team_shots,opponent_shots,team_win_odds_open,draw_odds_open,opponent_win_odds_open
La_liga 2025_148_239_2025-08-16 17:30:00,2025-08-16 17:30:00,True,239,Mallorca,l,148,Barcelona,0.529217,0,231,12,2,0.3698,0.529217,2.0243,3,121,30,19,2.0243,4,24,6.68,5.03,1.45
La_liga 2025_152_239_2025-08-23 15:00:00,2025-08-23 15:00:00,True,239,Mallorca,d,152,Celta Vigo,0.664974,1,300,17,6,1.0579999999999998,0.664974,0.917413,1,245,15,2,0.917413,12,8,3.06,3.1,2.6
La_liga 2025_150_239_2025-08-30 19:30:00,2025-08-30 19:30:00,False,239,Mallorca,l,150,Real Madrid,0.549872,1,213,11,3,0.4232,0.549872,1.84116,2,220,23,13,1.84116,9,17,12.71,7.16,1.21
La_liga 2025_141_239_2025-09-15 19:00:00,2025-09-15 19:00:00,False,239,Mallorca,l,141,Espanyol,2.03185,2,192,22,3,0.897,1.28857,2.67405,3,268,13,3,1.93077,24,9,3.51,3.23,2.28
La_liga 2025_143_239_2025-09-21 14:15:00,2025-09-21 14:15:00,True,239,Mallorca,d,143,Atletico Madrid,0.530939,1,259,18,4,0.2656,0.530939,2.08772,1,202,9,9,1.34445,8,12,5.05,3.69,1.76
La_liga 2025_140_239_2025-09-24 19:30:00,2025-09-24 19:30:00,False,239,Mallorca,l,140,Real Sociedad,0.641137,0,285,20,1,0.1686,0.641137,2.82857,1,163,25,11,2.82857,7,17,4.79,3.53,1.84
La_liga 2025_158_239_2025-09-27 16:30:00,2025-09-27 16:30:00,True,239,Mallorca,w,158,Alaves,1.04267,1,252,22,4,1.7821,1.04267,0.566415,0,171,29,6,0.566415,12,12,2.42,3.03,3.45
La_liga 2025_147_239_2025-10-04 16:30:00,2025-10-04 16:30:00,False,239,Mallorca,l,147,Athletic Club,0.213773,1,208,13,2,0.2156,0.213773,1.73351,2,274,28,3,0.990232,7,18,6.72,3.91,1.58
La_liga 2025_138_239_2025-10-18 12:00:00,2025-10-18 12:00:00,False,239,Mallorca,w,138,Sevilla,1.95555,3,242,22,2,1.9135000000000002,1.95555,1.25884,1,152,23,4,1.25884,7,13,4.74,3.46,1.87
La_liga 2025_151_239_2025-10-26 13:00:00,2025-10-26 13:00:00,True,239,Mallorca,d,151,Levante,1.86979,1,162,23,8,1.0539,1.86979,2.3579,1,307,27,8,2.3579,20,13,2.09,3.41,3.81
La_liga 2025_153_239_2025-11-02 20:00:00,2025-11-02 20:00:00,False,239,Mallorca,l,153,Real Betis,0.749852,0,333,21,3,0.2268,0.749852,2.82134,3,281,23,8,2.82134,14,15,5.68,4.22,1.6
La_liga 2025_142_239_2025-11-09 17:30:00,2025-11-09 17:30:00,True,239,Mallorca,w,142,Getafe,1.30353,1,174,19,2,2.1414999999999997,1.30353,0.539674,0,128,20,3,0.539674,6,14,2.53,2.9,3.42
La_liga 2025_154_239_2025-11-22 20:00:00,2025-11-22 20:00:00,False,239,Mallorca,l,154,Villarreal,1.38464,1,271,12,2,0.5421,1.38464,2.6371,2,180,31,13,2.6371,9,14,7.2,4.98,1.43
La_liga 2025_157_239_2025-11-29 13:00:00,2025-11-29 13:00:00,True,239,Mallorca,d,157,Osasuna,1.10581,2,194,17,3,1.344,0.362535,1.11108,2,233,23,4,1.11108,7,14,2.38,3.09,3.45
La_liga 2025_239_289_2025-12-05 20:00:00,2025-12-05 20:00:00,False,239,Mallorca,d,289,Real Oviedo,0.617185,0,295,14,7,0.5689,0.617185,1.60009,0,145,19,7,1.60009,13,15,3.1,3.04,2.66
La_liga 2025_207_239_2025-12-13 15:15:00,2025-12-13 15:15:00,True,239,Mallorca,w,207,Elche,2.581,3,307,23,4,2.7691,2.581,0.311674,1,238,25,7,0.311674,15,9,2.51,3.09,3.22
La_liga 2025_146_239_2025-12-19 20:00:00,2025-12-19 20:00:00,False,239,Mallorca,d,146,Valencia,0.199412,1,283,15,2,0.131,0.199412,2.16012,1,135,17,10,2.16012,4,17,4.26,3.3,2.04
La_liga 2025_223_239_2026-01-04 17:30:00,2026-01-04 17:30:00,True,239,Mallorca,l,223,Girona,1.48338,1,260,26,6,1.3479,0.740106,1.45714,2,243,18,7,0.713867,9,9,2.26,3.29,3.49
La_liga 2025_145_239_2026-01-11 13:00:00,2026-01-11 13:00:00,False,239,Mallorca,l,145,Rayo Vallecano,1.05743,1,211,19,0,0.6212000000000001,1.05743,2.05105,2,184,26,4,1.30777,9,14,4.78,3.24,1.93
La_liga 2025_147_239_2026-01-17 15:15:00,2026-01-17 15:15:00,True,239,Mallorca,w,147,Athletic Club,3.11432,3,205,21,6,1.9577999999999998,1.38703,2.28242,2,310,22,9,2.28242,18,21,3.8,2.9,2.25
La_liga 2025_143_239_2026-01-25 13:00:00,2026-01-25 13:00:00,False,239,Mallorca,l,143,Atletico Madrid,0.367893,0,315,15,1,0.4554,0.367893,1.42501,3,216,27,8,1.42501,6,17,10.0,5.25,1.3
La_liga 2025_138_239_2026-02-02 20:00:00,2026-02-02 20:00:00,True,239,Mallorca,w,138,Sevilla,3.04346,4,306,33,5,2.5689,2.30018,1.24318,1,123,22,7,1.24318,11,15,2.4,3.2,3.1
La_liga 2025_148_239_2026-02-07 15:15:00,2026-02-07 15:15:00,False,239,Mallorca,l,148,Barcelona,1.01087,0,416,24,2,0.4131,1.01087,2.48168,3,129,17,8,2.48168,9,24,15.0,9.0,1.14
