match_id,date,is_home,team_id,team_name,result,opponent_id,opponent_name,team_xG,team_goals,team_ppda_att,team_ppda_def,team_deep,team_xpts,team_npxG,opponent_xG,opponent_goals,opponent_ppda_att,opponent_ppda_def,opponent_deep,opponent_npxG,team_shots,opponent_shots,team_win_odds_open,draw_odds_open,opponent_win_odds_open
Ligue_1 2025_160_241_2025-08-17 13:00:00,2025-08-17 13:00:00,False,160,Lille,d,241,Brest,1.84218,3,215,19,13,1.6426999999999998,1.84218,1.49573,3,249,29,5,1.49573,10,18,2.23,3.48,3.36
Ligue_1 2025_160_171_2025-08-24 18:45:00,2025-08-24 18:45:00,True,160,Lille,w,171,Monaco,2.41091,1,243,23,12,2.0159000000000002,1.65081,1.52213,0,232,29,0,1.52213,18,6,3.11,3.64,2.29
Ligue_1 2025_160_179_2025-08-30 15:00:00,2025-08-30 15:00:00,False,160,Lille,w,179,Lorient,3.70255,7,204,35,11,2.8038,3.70255,1.1603,1,314,15,1,0.245616,20,6,2.14,3.62,3.44
Ligue_1 2025_160_174_2025-09-14 13:00:00,2025-09-14 13:00:00,True,160,Lille,w,174,Toulouse,2.42116,2,114,28,9,2.2982,1.66107,1.15678,1,344,14,2,1.15678,20,9,1.78,4.01,4.43
Ligue_1 2025_160_210_2025-09-20 19:05:00,2025-09-20 19:05:00,False,160,Lille,l,210,Lens,1.89889,0,184,20,11,0.3556,1.89889,3.8174,3,307,21,8,3.8174,17,15,3.02,3.49,2.4
Ligue_1 2025_160_178_2025-09-28 15:15:00,2025-09-28 15:15:00,True,160,Lille,l,178,Lyon,1.65271,0,219,31,8,2.2064000000000004,1.65271,0.642572,1,207,24,7,0.642572,14,5,2.26,3.49,3.28
Ligue_1 2025_160_161_2025-10-05 18:45:00,2025-10-05 18:45:00,True,160,Lille,d,161,Paris Saint Germain,0.647492,1,437,31,10,0.5565,0.647492,1.71207,1,207,16,5,1.71207,9,17,4.47,3.99,1.78
Ligue_1 2025_160_168_2025-10-19 18:45:00,2025-10-19 18:45:00,False,160,Lille,w,168,Nantes,2.7603,2,174,25,15,2.6252000000000004,2.7603,0.772603,0,300,19,2,0.772603,23,8,1.79,3.86,4.54
Ligue_1 2025_160_180_2025-10-26 13:00:00,2025-10-26 13:00:00,True,160,Lille,w,180,Metz,3.85054,6,176,27,17,2.8007,3.85054,1.01476,1,281,15,5,1.01476,23,10,1.33,5.55,9.34
Ligue_1 2025_160_170_2025-10-29 17:00:00,2025-10-29 17:00:00,False,160,Lille,l,170,Nice,0.661109,0,179,25,9,0.4891,0.661109,1.74459,2,295,10,2,0.984498,21,8,2.36,3.52,3.07
Ligue_1 2025_160_167_2025-11-02 16:15:00,2025-11-02 16:15:00,True,160,Lille,w,167,Angers,2.2089,1,309,23,13,2.7102,2.2089,0.277522,0,323,21,3,0.277522,15,6,1.28,5.98,11.29
