match_id,date,is_home,team_id,team_name,result,opponent_id,opponent_name,team_xG,team_goals,team_ppda_att,team_ppda_def,team_deep,team_xpts,team_npxG,opponent_xG,opponent_goals,opponent_ppda_att,opponent_ppda_def,opponent_deep,opponent_npxG,team_shots,opponent_shots,team_win_odds_open,draw_odds_open,opponent_win_odds_open
Ligue_1 2025_161_168_2025-08-17 18:45:00,2025-08-17 18:45:00,False,161,Paris Saint Germain,w,168,Nantes,1.35682,1,190,19,14,2.4338,1.35682,0.124428,0,283,8,2,0.124428,18,6,1.35,5.72,8.26
Ligue_1 2025_161_167_2025-08-22 18:45:00,2025-08-22 18:45:00,True,161,Paris Saint Germain,w,167,Angers,2.0878,1,126,25,12,2.7871,1.32771,0.176876,0,284,11,1,0.176876,21,3,1.09,12.5,27.0
Ligue_1 2025_161_174_2025-08-30 19:05:00,2025-08-30 19:05:00,False,161,Paris Saint Germain,w,174,Toulouse,2.49609,6,147,21,11,1.4929000000000001,0.975901,2.33006,3,575,16,5,1.56997,13,14,1.36,5.48,8.47
Ligue_1 2025_161_210_2025-09-14 15:15:00,2025-09-14 15:15:00,True,161,Paris Saint Germain,w,210,Lens,1.05815,2,211,19,9,1.1606999999999998,1.05815,1.2242,0,522,23,4,1.2242,14,11,1.33,5.97,8.28
Ligue_1 2025_161_164_2025-09-22 18:45:00,2025-09-22 18:45:00,False,161,Paris Saint Germain,l,164,Marseille,0.919565,0,164,21,7,0.6946,0.919565,1.77744,1,417,25,5,1.77744,12,9,1.94,3.98,3.73
Ligue_1 2025_161_275_2025-09-27 19:05:00,2025-09-27 19:05:00,True,161,Paris Saint Germain,w,275,Auxerre,2.11672,2,168,36,7,2.3802999999999996,2.11672,0.73132,0,416,18,4,0.73132,15,12,1.16,9.23,14.84
Ligue_1 2025_160_161_2025-10-05 18:45:00,2025-10-05 18:45:00,False,161,Paris Saint Germain,d,160,Lille,1.71207,1,207,16,5,2.2146,1.71207,0.647492,1,437,31,10,0.647492,17,9,1.78,3.99,4.47
Ligue_1 2025_161_225_2025-10-17 18:45:00,2025-10-17 18:45:00,True,161,Paris Saint Germain,d,225,Strasbourg,2.85659,3,199,33,11,2.0297,2.09649,1.92082,3,497,24,7,1.92082,21,12,1.31,5.83,9.84
Ligue_1 2025_161_241_2025-10-25 15:00:00,2025-10-25 15:00:00,False,161,Paris Saint Germain,w,241,Brest,2.92453,3,147,16,12,2.056,2.92453,1.89257,0,430,22,4,1.13248,18,8,1.34,5.61,8.88
Ligue_1 2025_161_179_2025-10-29 17:00:00,2025-10-29 17:00:00,False,161,Paris Saint Germain,d,179,Lorient,1.28813,1,99,20,10,2.4410000000000003,1.28813,0.192946,1,307,9,4,0.192946,15,5,1.26,6.39,10.79
Ligue_1 2025_161_170_2025-11-01 16:00:00,2025-11-01 16:00:00,True,161,Paris Saint Germain,w,170,Nice,1.88647,1,148,43,30,2.5072,1.88647,0.3867,0,322,4,0,0.3867,28,5,1.26,6.72,10.13
Ligue_1 2025_161_178_2025-11-09 19:45:00,2025-11-09 19:45:00,False,161,Paris Saint Germain,w,178,Lyon,1.69872,3,166,19,5,2.2023,1.69872,0.712588,2,476,19,3,0.712588,9,9,1.82,4.0,4.22
Ligue_1 2025_161_282_2025-11-22 20:05:00,2025-11-22 20:05:00,True,161,Paris Saint Germain,w,282,Le Havre,4.11577,3,164,21,15,2.7754,4.11577,1.28573,0,338,30,4,1.28573,31,12,1.16,9.07,14.62
Ligue_1 2025_161_171_2025-11-29 16:00:00,2025-11-29 16:00:00,False,161,Paris Saint Germain,l,171,Monaco,1.47676,0,192,24,12,2.0180000000000002,1.47676,0.637875,1,315,27,14,0.637875,17,10,1.6,4.59,5.1
Ligue_1 2025_161_163_2025-12-06 20:05:00,2025-12-06 20:05:00,True,161,Paris Saint Germain,w,163,Rennes,2.32641,5,224,24,16,2.8044000000000002,2.32641,0.153549,0,480,15,3,0.153549,20,6,1.31,6.21,8.64
Ligue_1 2025_161_180_2025-12-13 18:00:00,2025-12-13 18:00:00,False,161,Paris Saint Germain,w,180,Metz,1.94768,3,311,29,16,2.5699,1.94768,0.363683,2,464,14,4,0.363683,14,9,1.24,6.84,10.74
Ligue_1 2025_161_290_2026-01-04 19:45:00,2026-01-04 19:45:00,True,161,Paris Saint Germain,w,290,Paris FC,1.58716,2,209,25,10,1.8768999999999998,1.58716,0.938334,1,435,12,2,0.178239,20,6,1.21,6.53,16.75
Ligue_1 2025_160_161_2026-01-16 20:00:00,2026-01-16 20:00:00,True,161,Paris Saint Germain,w,160,Lille,1.29284,3,261,34,10,1.8606,1.29284,0.67995,0,383,13,4,0.67995,13,7,1.3,5.75,8.0
Ligue_1 2025_161_275_2026-01-23 19:00:00,2026-01-23 19:00:00,False,161,Paris Saint Germain,w,275,Auxerre,2.19544,1,135,26,8,2.6575999999999995,2.19544,0.352997,0,434,17,4,0.352997,16,8,1.29,5.5,11.0
Ligue_1 2025_161_225_2026-02-01 19:45:00,2026-02-01 19:45:00,False,161,Paris Saint Germain,w,225,Strasbourg,1.16489,2,212,20,11,0.743,1.16489,1.97116,1,430,21,3,1.21106,13,9,1.62,4.5,4.75
Ligue_1 2025_161_164_2026-02-08 19:45:00,2026-02-08 19:45:00,True,161,Paris Saint Germain,w,164,Marseille,4.63077,5,217,18,19,2.9195999999999995,4.63077,0.90611,0,369,29,3,0.90611,22,9,1.42,5.25,6.0
Ligue_1 2025_161_163_2026-02-13 18:00:00,2026-02-13 18:00:00,False,161,Paris Saint Germain,l,163,Rennes,4.17604,1,173,25,15,2.7092000000000005,4.17604,1.80204,3,344,21,2,1.80204,22,13,1.4,5.0,7.0
Ligue_1 2025_161_180_2026-02-21 20:05:00,2026-02-21 20:05:00,True,161,Paris Saint Germain,w,180,Metz,2.41445,3,224,26,15,2.8764,2.41445,0.0591146,0,410,23,1,0.0591146,17,3,1.14,9.0,13.0
Ligue_1 2025_161_282_2026-02-28 20:05:00,2026-02-28 20:05:00,False,161,Paris Saint Germain,w,282,Le Havre,4.03627,1,165,25,12,2.9218,3.27617,0.682797,0,370,18,3,0.682797,22,10,1.3,6.25,8.0
Ligue_1 2025_161_171_2026-03-06 19:45:00,2026-03-06 19:45:00,True,161,Paris Saint Germain,l,171,Monaco,1.22179,1,135,29,21,0.9670000000000001,1.22179,1.75294,3,327,25,8,1.75294,20,11,1.36,5.5,7.0
Ligue_1 2025_161_170_2026-03-21 20:05:00,2026-03-21 20:05:00,False,161,Paris Saint Germain,w,170,Nice,4.04442,4,136,20,9,2.9807,3.28433,0.17662,0,452,15,2,0.17662,17,6,1.36,5.5,8.0
Ligue_1 2025_161_174_2026-04-03 18:45:00,2026-04-03 18:45:00,True,161,Paris Saint Germain,w,174,Toulouse,1.7337,3,163,18,12,2.8302,1.7337,0.102597,1,512,22,2,0.102597,17,5,1.25,6.25,11.0
Ligue_1 2025_161_178_2026-04-19 18:45:00,2026-04-19 18:45:00,True,161,Paris Saint Germain,l,178,Lyon,3.20455,1,146,22,15,2.5736000000000003,2.44445,1.20364,2,400,4,4,1.20364,23,6,1.3,6.0,8.5
Ligue_1 2025_161_168_2026-04-22 18:00:00,2026-04-22 18:00:00,True,161,Paris Saint Germain,w,168,Nantes,2.26452,3,181,23,11,2.574,1.50442,0.672206,0,480,10,3,0.672206,14,11,1.18,7.0,13.0
Ligue_1 2025_161_167_2026-04-25 17:00:00,2026-04-25 17:00:00,False,161,Paris Saint Germain,w,167,Angers,3.00296,3,168,13,8,2.5956,3.00296,0.977437,0,562,22,8,0.977437,17,6,1.27,6.0,10.0
Ligue_1 2025_161_179_2026-05-03 13:00:00,2026-05-03 13:00:00,True,161,Paris Saint Germain,d,179,Lorient,2.98414,2,193,23,7,2.4699,2.98414,1.27737,2,245,7,1,1.27737,24,5,1.3,5.75,8.0
Ligue_1 2025_161_241_2026-05-10 19:00:00,2026-05-10 19:00:00,True,161,Paris Saint Germain,w,241,Brest,1.608,1,199,15,11,2.5515,1.608,0.123268,0,308,21,2,0.123268,23,3,1.17,7.0,13.0
Ligue_1 2025_161_210_2026-05-13 19:00:00,2026-05-13 19:00:00,False,161,Paris Saint Germain,w,210,Lens,0.943876,2,224,17,7,0.2643,0.943876,3.03896,0,507,34,13,3.03896,10,25,1.95,4.0,3.4
Ligue_1 2025_161_290_2026-05-17 19:00:00,2026-05-17 19:00:00,False,161,Paris Saint Germain,l,290,Paris FC,0.863934,1,245,20,8,0.3792,0.863934,2.32862,2,483,23,6,2.32862,9,17,1.53,4.1,5.5
