match_id,date,is_home,team_id,team_name,result,opponent_id,opponent_name,team_xG,team_goals,team_ppda_att,team_ppda_def,team_deep,team_xpts,team_npxG,opponent_xG,opponent_goals,opponent_ppda_att,opponent_ppda_def,opponent_deep,opponent_npxG,team_shots,opponent_shots,team_win_odds_open,draw_odds_open,opponent_win_odds_open
Ligue_1 2025_163_164_2025-08-15 18:45:00,2025-08-15 18:45:00,True,163,Rennes,w,164,Marseille,1.31418,1,347,9,3,0.8577,1.31418,2.07298,0,160,24,7,2.07298,12,24,3.64,3.58,2.11
Ligue_1 2025_163_179_2025-08-24 13:00:00,2025-08-24 13:00:00,False,163,Rennes,l,179,Lorient,0.0728372,0,196,13,0,0.0167,0.0728372,3.4466,4,302,33,19,3.4466,5,22,2.64,3.3,2.84
Ligue_1 2025_163_167_2025-08-31 13:00:00,2025-08-31 13:00:00,False,163,Rennes,d,167,Angers,1.73758,1,276,26,9,1.4649,1.73758,1.58619,1,428,12,1,1.58619,15,10,2.16,3.53,3.47
Ligue_1 2025_163_178_2025-09-14 18:45:00,2025-09-14 18:45:00,True,163,Rennes,w,178,Lyon,2.20918,3,301,38,4,1.7035,2.20918,1.7381,1,227,17,6,1.7381,23,8,2.71,3.61,2.58
Ligue_1 2025_163_168_2025-09-20 15:00:00,2025-09-20 15:00:00,False,163,Rennes,d,168,Nantes,1.44041,2,205,17,5,0.5467,0.680312,2.65629,2,289,26,8,1.89619,8,16,2.11,3.47,3.69
Ligue_1 2025_163_210_2025-09-28 18:45:00,2025-09-28 18:45:00,True,163,Rennes,d,210,Lens,1.57438,0,121,25,5,1.4282000000000001,1.57438,1.51932,0,230,24,7,1.51932,14,13,2.54,3.59,2.77
Ligue_1 2025_163_282_2025-10-05 15:15:00,2025-10-05 15:15:00,False,163,Rennes,d,282,Le Havre,1.21285,2,247,24,5,0.7618,1.21285,1.98097,2,287,26,3,1.22087,9,10,2.45,3.33,3.08
Ligue_1 2025_163_275_2025-10-19 15:15:00,2025-10-19 15:15:00,True,163,Rennes,d,275,Auxerre,1.93587,2,222,33,9,1.5216,1.93587,1.66634,2,222,22,1,0.906242,19,7,1.8,3.84,4.53
Ligue_1 2025_163_170_2025-10-26 15:15:00,2025-10-26 15:15:00,True,163,Rennes,l,170,Nice,1.54435,1,228,23,2,1.9098000000000002,1.54435,0.88734,2,268,22,2,0.88734,19,8,2.2,3.64,3.28
Ligue_1 2025_163_174_2025-10-29 19:05:00,2025-10-29 19:05:00,False,163,Rennes,d,174,Toulouse,1.26096,2,254,16,2,1.0647000000000002,1.26096,1.62131,2,224,25,14,0.86121,11,15,3.36,3.53,2.21
