match_id,date,is_home,team_id,team_name,result,opponent_id,opponent_name,team_xG,team_goals,team_ppda_att,team_ppda_def,team_deep,team_xpts,team_npxG,opponent_xG,opponent_goals,opponent_ppda_att,opponent_ppda_def,opponent_deep,opponent_npxG,team_shots,opponent_shots,team_win_odds_open,draw_odds_open,opponent_win_odds_open
Ligue_1 2025_180_225_2025-08-17 15:15:00,2025-08-17 15:15:00,False,225,Strasbourg,w,180,Metz,0.731013,1,238,36,6,1.8967999999999998,0.731013,0.184483,0,370,23,1,0.184483,9,2,2.29,3.48,3.23
Ligue_1 2025_168_225_2025-08-24 15:15:00,2025-08-24 15:15:00,True,225,Strasbourg,w,168,Nantes,1.81743,1,325,33,6,2.5940000000000003,1.81743,0.425423,0,271,16,2,0.425423,15,9,1.78,3.65,4.98
Ligue_1 2025_171_225_2025-08-31 15:15:00,2025-08-31 15:15:00,False,225,Strasbourg,l,171,Monaco,1.7732,2,238,27,11,0.9655,1.01311,2.35547,3,311,33,7,2.35547,12,12,5.64,4.56,1.56
Ligue_1 2025_225_282_2025-09-14 15:15:00,2025-09-14 15:15:00,True,225,Strasbourg,w,282,Le Havre,1.43354,1,327,17,6,2.2274,0.673449,0.524832,0,309,30,5,0.524832,9,10,1.64,4.27,5.15
Ligue_1 2025_225_290_2025-09-21 13:00:00,2025-09-21 13:00:00,False,225,Strasbourg,w,290,Paris FC,2.46459,3,400,13,6,1.8367999999999998,2.46459,1.9014,2,271,23,5,1.9014,8,18,3.0,3.44,2.45
Ligue_1 2025_164_225_2025-09-26 18:45:00,2025-09-26 18:45:00,True,225,Strasbourg,l,164,Marseille,1.0976,1,323,20,5,0.6931,1.0976,2.00258,2,273,31,3,2.00258,9,16,3.76,3.78,2.01
Ligue_1 2025_167_225_2025-10-05 15:15:00,2025-10-05 15:15:00,True,225,Strasbourg,w,167,Angers,4.2783,5,265,38,7,2.9742,4.2783,0.294622,0,561,18,2,0.294622,18,5,1.71,3.9,5.12
Ligue_1 2025_161_225_2025-10-17 18:45:00,2025-10-17 18:45:00,False,225,Strasbourg,d,161,Paris Saint Germain,1.92082,3,497,24,7,0.7601,1.92082,2.85659,3,199,33,11,2.09649,12,21,9.84,5.83,1.31
Ligue_1 2025_178_225_2025-10-26 18:45:00,2025-10-26 18:45:00,False,225,Strasbourg,l,178,Lyon,0.798152,1,250,27,5,0.9378,0.798152,1.14566,2,305,25,4,0.38556,7,8,3.41,3.75,2.11
Ligue_1 2025_225_275_2025-10-29 19:05:00,2025-10-29 19:05:00,True,225,Strasbourg,w,275,Auxerre,4.10806,3,209,27,13,2.928,4.10806,0.68695,0,499,27,4,0.68695,18,6,1.76,4.03,4.56
Ligue_1 2025_163_225_2025-11-02 14:00:00,2025-11-02 14:00:00,False,225,Strasbourg,l,163,Rennes,2.08816,1,252,22,14,0.7884,2.08816,3.06877,4,416,27,10,3.06877,20,13,2.98,3.68,2.35
Ligue_1 2025_160_225_2025-11-09 16:15:00,2025-11-09 16:15:00,True,225,Strasbourg,w,160,Lille,0.768163,2,234,18,1,1.5938,0.768163,0.480004,0,240,25,5,0.480004,5,7,2.68,3.71,2.56
Ligue_1 2025_210_225_2025-11-22 16:00:00,2025-11-22 16:00:00,False,225,Strasbourg,l,210,Lens,0.400272,0,380,24,5,0.2349,0.400272,2.2242,1,315,28,12,2.2242,7,13,3.48,3.71,2.1
Ligue_1 2025_225_241_2025-11-30 14:00:00,2025-11-30 14:00:00,True,225,Strasbourg,l,241,Brest,1.14608,1,273,23,8,1.4101000000000001,1.14608,1.00638,2,371,33,3,0.246283,14,7,1.83,3.83,4.4
Ligue_1 2025_174_225_2025-12-06 18:00:00,2025-12-06 18:00:00,False,225,Strasbourg,l,174,Toulouse,0.0918532,0,186,21,2,0.6112,0.0918532,0.64097,1,542,32,1,0.64097,3,6,2.83,3.42,2.58
