match_id,date,is_home,team_id,team_name,result,opponent_id,opponent_name,team_xG,team_goals,team_ppda_att,team_ppda_def,team_deep,team_xpts,team_npxG,opponent_xG,opponent_goals,opponent_ppda_att,opponent_ppda_def,opponent_deep,opponent_npxG,team_shots,opponent_shots,team_win_odds_open,draw_odds_open,opponent_win_odds_open
Ligue_1 2025_170_174_2025-08-16 19:05:00,2025-08-16 19:05:00,False,174,Toulouse,w,170,Nice,0.56945,1,272,19,9,0.9146,0.56945,0.95554,0,213,19,11,0.95554,10,13,3.69,3.45,2.12
Ligue_1 2025_174_241_2025-08-24 15:15:00,2025-08-24 15:15:00,True,174,Toulouse,w,241,Brest,1.32432,2,248,26,3,2.0229,1.32432,0.750148,0,233,25,7,0.750148,6,16,2.11,3.57,3.57
Ligue_1 2025_161_174_2025-08-30 19:05:00,2025-08-30 19:05:00,True,174,Toulouse,l,161,Paris Saint Germain,2.33006,3,575,16,5,1.246,1.56997,2.49609,6,147,21,11,0.975901,14,13,8.47,5.48,1.36
Ligue_1 2025_160_174_2025-09-14 13:00:00,2025-09-14 13:00:00,False,174,Toulouse,l,160,Lille,1.15678,1,344,14,2,0.503,1.15678,2.42116,2,114,28,9,1.66107,9,20,4.43,4.01,1.78
Ligue_1 2025_174_275_2025-09-21 15:15:00,2025-09-21 15:15:00,False,174,Toulouse,l,275,Auxerre,1.50957,0,155,30,7,1.9142,0.749478,0.883373,1,278,19,5,0.883373,13,6,2.72,3.27,2.79
Ligue_1 2025_168_174_2025-09-27 17:00:00,2025-09-27 17:00:00,True,174,Toulouse,d,168,Nantes,1.98573,2,349,35,8,1.4598,1.22563,1.8303,2,244,17,4,1.8303,20,12,1.7,3.8,5.4
Ligue_1 2025_174_178_2025-10-05 13:00:00,2025-10-05 13:00:00,False,174,Toulouse,w,178,Lyon,1.36525,2,428,32,5,1.3385000000000002,1.36525,1.42206,1,111,21,6,1.42206,14,13,3.83,3.81,1.95
Ligue_1 2025_174_180_2025-10-19 15:15:00,2025-10-19 15:15:00,True,174,Toulouse,w,180,Metz,2.73037,4,450,27,3,2.9146,1.97027,0.119104,0,194,12,4,0.119104,16,2,1.61,4.12,5.71
Ligue_1 2025_171_174_2025-10-25 17:00:00,2025-10-25 17:00:00,False,174,Toulouse,l,171,Monaco,0.584122,0,257,34,3,0.0867,0.584122,3.37276,1,167,32,7,3.37276,10,14,3.96,4.03,1.87
Ligue_1 2025_163_174_2025-10-29 19:05:00,2025-10-29 19:05:00,True,174,Toulouse,d,163,Rennes,1.62131,2,224,25,14,1.6521,0.86121,1.26096,2,254,16,2,1.26096,15,11,2.21,3.53,3.36
Ligue_1 2025_174_282_2025-11-02 16:15:00,2025-11-02 16:15:00,True,174,Toulouse,d,282,Le Havre,1.07851,0,284,21,6,1.3203,1.07851,1.07299,0,149,26,5,1.07299,18,9,1.78,3.74,4.82
Ligue_1 2025_174_179_2025-11-09 14:00:00,2025-11-09 14:00:00,False,174,Toulouse,d,179,Lorient,1.15206,1,218,24,6,1.1729,0.391967,1.26999,1,276,9,2,0.509893,6,10,2.51,3.32,2.99
Ligue_1 2025_167_174_2025-11-23 16:15:00,2025-11-23 16:15:00,True,174,Toulouse,l,167,Angers,1.85382,0,269,29,8,2.5349,1.85382,0.324057,1,290,29,3,0.324057,25,6,1.62,3.97,5.96
