match_id,date,is_home,team_id,team_name,result,opponent_id,opponent_name,team_xG,team_goals,team_ppda_att,team_ppda_def,team_deep,team_xpts,team_npxG,opponent_xG,opponent_goals,opponent_ppda_att,opponent_ppda_def,opponent_deep,opponent_npxG,team_shots,opponent_shots,team_win_odds_open,draw_odds_open,opponent_win_odds_open
Serie_A 2025_286_96_2025-08-24 16:30:00,2025-08-24 16:30:00,True,286,Como,w,96,Lazio,1.28478,2,202,35,5,2.3154000000000003,1.28478,0.202984,0,339,26,2,0.202984,19,5,2.49,3.37,3.0
Serie_A 2025_286_97_2025-08-30 16:30:00,2025-08-30 16:30:00,False,286,Como,l,97,Bologna,0.521585,0,130,28,7,0.535,0.521585,1.51584,1,303,23,3,1.51584,13,15,3.14,3.13,2.53
Serie_A 2025_101_286_2025-09-15 18:45:00,2025-09-15 18:45:00,True,286,Como,d,101,Genoa,1.56467,1,237,29,4,0.6414000000000001,1.56467,2.54288,1,292,37,6,2.54288,13,13,1.67,3.75,5.86
Serie_A 2025_110_286_2025-09-21 16:00:00,2025-09-21 16:00:00,False,286,Como,w,110,Fiorentina,2.09507,2,169,30,7,2.5574,2.09507,0.424904,1,288,31,1,0.424904,19,8,2.87,3.28,2.64
Serie_A 2025_272_286_2025-09-27 13:00:00,2025-09-27 13:00:00,True,286,Como,d,272,Cremonese,1.44033,1,179,26,3,2.1215,1.44033,0.564557,1,292,17,2,0.564557,14,9,1.47,4.63,7.03
Serie_A 2025_107_286_2025-10-04 18:45:00,2025-10-04 18:45:00,False,286,Como,d,107,Atalanta,0.959121,1,289,24,4,0.7381,0.959121,1.74169,1,304,31,13,1.74169,12,16,3.35,3.4,2.27
Serie_A 2025_286_98_2025-10-19 10:30:00,2025-10-19 10:30:00,True,286,Como,w,98,Juventus,1.68785,2,290,34,5,1.9761999999999997,1.68785,0.964723,0,201,30,7,0.964723,12,15,3.01,3.25,2.54
Serie_A 2025_230_286_2025-10-25 13:00:00,2025-10-25 13:00:00,False,286,Como,d,230,Parma Calcio 1913,0.387121,0,111,27,3,0.4004,0.387121,1.56651,0,390,23,4,1.56651,6,10,1.98,3.53,4.06
Serie_A 2025_286_94_2025-10-29 16:30:00,2025-10-29 16:30:00,True,286,Como,w,94,Verona,1.74279,3,103,22,4,1.3956,1.74279,1.69938,1,330,27,7,1.69938,15,13,1.66,3.59,6.37
Serie_A 2025_105_286_2025-11-01 17:00:00,2025-11-01 17:00:00,False,286,Como,d,105,Napoli,1.17012,0,231,28,3,1.7828,0.401891,0.762314,0,276,26,6,0.762314,13,13,4.71,3.1,2.0
