match_id,date,is_home,team_id,team_name,result,opponent_id,opponent_name,team_xG,team_goals,team_ppda_att,team_ppda_def,team_deep,team_xpts,team_npxG,opponent_xG,opponent_goals,opponent_ppda_att,opponent_ppda_def,opponent_deep,opponent_npxG,team_shots,opponent_shots,team_win_odds_open,draw_odds_open,opponent_win_odds_open
Serie_A 2025_110_116_2025-08-24 16:30:00,2025-08-24 16:30:00,False,110,Fiorentina,d,116,Cagliari,1.14261,1,212,22,3,1.0569,1.14261,1.51736,1,281,24,6,1.51736,4,14,2.29,3.32,3.38
Serie_A 2025_110_113_2025-08-31 16:30:00,2025-08-31 16:30:00,False,110,Fiorentina,d,113,Torino,1.18859,0,150,17,2,1.4423,1.18859,1.05012,0,231,19,7,1.05012,16,7,2.47,3.16,3.21
Serie_A 2025_105_110_2025-09-13 18:45:00,2025-09-13 18:45:00,True,110,Fiorentina,l,105,Napoli,1.39098,1,248,25,6,0.2418,1.39098,3.55376,3,279,23,8,2.79247,19,14,3.56,3.17,2.29
Serie_A 2025_110_286_2025-09-21 16:00:00,2025-09-21 16:00:00,True,110,Fiorentina,l,286,Como,0.424904,1,288,31,1,0.2915,0.424904,2.09507,2,169,30,7,2.09507,8,19,2.64,3.28,2.87
Serie_A 2025_110_291_2025-09-28 13:00:00,2025-09-28 13:00:00,False,110,Fiorentina,d,291,Pisa,0.840093,0,114,28,4,1.5492,0.840093,0.580471,0,244,28,4,0.580471,14,11,2.25,3.33,3.47
Serie_A 2025_110_95_2025-10-05 13:00:00,2025-10-05 13:00:00,True,110,Fiorentina,l,95,Roma,1.11719,1,274,21,2,1.1895,1.11719,1.22512,2,226,31,8,1.22512,11,8,3.07,3.26,2.5
Serie_A 2025_110_111_2025-10-19 18:45:00,2025-10-19 18:45:00,False,110,Fiorentina,l,111,AC Milan,0.965997,1,266,16,3,0.4671,0.965997,2.01853,2,211,20,3,1.25723,5,14,6.09,4.33,1.56
Serie_A 2025_110_97_2025-10-26 16:00:00,2025-10-26 16:00:00,True,110,Fiorentina,d,97,Bologna,3.87905,2,182,18,3,2.9146,2.35645,0.883347,2,181,20,6,0.883347,19,6,2.72,3.18,2.85
Serie_A 2025_106_110_2025-10-29 18:45:00,2025-10-29 18:45:00,False,110,Fiorentina,l,106,Inter,0.741937,0,310,23,3,0.2245,0.741937,2.87253,3,198,22,10,2.11123,10,22,7.67,5.02,1.41
Serie_A 2025_110_243_2025-11-02 14:00:00,2025-11-02 14:00:00,True,110,Fiorentina,l,243,Lecce,1.38997,0,126,17,9,1.361,1.38997,1.3239,1,278,25,0,1.3239,15,11,1.66,3.85,5.74
