match_id,date,is_home,team_id,team_name,result,opponent_id,opponent_name,team_xG,team_goals,team_ppda_att,team_ppda_def,team_deep,team_xpts,team_npxG,opponent_xG,opponent_goals,opponent_ppda_att,opponent_ppda_def,opponent_deep,opponent_npxG,team_shots,opponent_shots,team_win_odds_open,draw_odds_open,opponent_win_odds_open
Serie_A 2025_101_243_2025-08-23 16:30:00,2025-08-23 16:30:00,True,101,Genoa,d,243,Lecce,0.56563,0,125,23,3,1.3175,0.56563,0.55094,0,274,34,4,0.55094,5,7,1.93,3.43,4.47
Serie_A 2025_101_98_2025-08-31 16:30:00,2025-08-31 16:30:00,True,101,Genoa,l,98,Juventus,0.593013,0,269,27,2,0.5363,0.593013,1.55128,1,195,34,2,1.55128,10,13,4.51,3.48,1.9
Serie_A 2025_101_286_2025-09-15 18:45:00,2025-09-15 18:45:00,False,101,Genoa,d,286,Como,2.54288,1,292,37,6,2.1372,2.54288,1.56467,1,237,29,4,1.56467,13,13,5.86,3.75,1.67
Serie_A 2025_101_97_2025-09-20 13:00:00,2025-09-20 13:00:00,False,101,Genoa,l,97,Bologna,0.794732,1,231,22,2,0.5695,0.794732,1.78786,2,154,22,4,1.02656,7,14,4.93,3.37,1.87
Serie_A 2025_101_96_2025-09-29 18:45:00,2025-09-29 18:45:00,True,101,Genoa,l,96,Lazio,1.47659,0,152,27,3,0.2567,1.47659,3.54059,3,315,20,4,3.54059,17,10,3.02,3.12,2.63
Serie_A 2025_101_105_2025-10-05 16:00:00,2025-10-05 16:00:00,False,101,Genoa,l,105,Napoli,0.691583,1,331,24,2,0.4545,0.691583,1.87915,2,128,21,6,1.87915,6,12,8.09,4.04,1.5
Serie_A 2025_101_230_2025-10-19 13:00:00,2025-10-19 13:00:00,True,101,Genoa,d,230,Parma Calcio 1913,2.21692,0,123,21,6,2.8872,1.45562,0.0544873,0,266,19,0,0.0544873,23,1,2.14,3.15,4.03
Serie_A 2025_101_113_2025-10-26 10:30:00,2025-10-26 10:30:00,False,101,Genoa,l,113,Torino,1.9796,1,258,12,7,1.4917,1.9796,1.8196,2,171,22,6,1.8196,11,13,3.71,2.96,2.35
Serie_A 2025_101_272_2025-10-29 18:45:00,2025-10-29 18:45:00,True,101,Genoa,l,272,Cremonese,1.3491,0,142,32,6,1.1775,1.3491,1.57974,2,190,26,3,1.57974,16,12,1.87,3.3,5.08
Serie_A 2025_101_104_2025-11-03 17:30:00,2025-11-03 17:30:00,False,101,Genoa,w,104,Sassuolo,1.83271,2,318,20,3,1.7583,1.83271,1.31641,1,175,19,6,1.31641,16,13,3.3,3.1,2.45
Serie_A 2025_101_110_2025-11-09 14:00:00,2025-11-09 14:00:00,True,101,Genoa,d,110,Fiorentina,1.58884,2,266,29,2,1.5367,0.827544,1.33019,2,156,14,4,0.568896,10,7,2.84,3.01,2.87
Serie_A 2025_101_116_2025-11-22 14:00:00,2025-11-22 14:00:00,False,101,Genoa,d,116,Cagliari,1.61562,3,185,25,3,1.5726999999999998,1.61562,1.37329,3,219,28,3,1.37329,13,11,2.81,2.92,2.98
Serie_A 2025_101_94_2025-11-29 14:00:00,2025-11-29 14:00:00,True,101,Genoa,w,94,Verona,1.64897,2,153,20,3,0.6555,1.64897,2.60658,1,257,27,4,2.60658,15,13,2.08,3.08,4.38
Serie_A 2025_101_99_2025-12-08 17:00:00,2025-12-08 17:00:00,False,101,Genoa,w,99,Udinese,1.5362,2,211,18,1,1.4309,0.774898,1.49196,1,162,30,7,1.49196,12,23,3.32,3.0,2.51
Serie_A 2025_101_106_2025-12-14 17:00:00,2025-12-14 17:00:00,True,101,Genoa,l,106,Inter,0.895295,1,287,17,3,0.5085999999999999,0.895295,2.04412,2,172,30,7,2.04412,5,18,6.67,4.38,1.52
Serie_A 2025_101_107_2025-12-21 19:45:00,2025-12-21 19:45:00,True,101,Genoa,l,107,Atalanta,0.967673,0,202,14,4,0.7737,0.967673,1.76564,1,105,29,4,1.76564,6,16,4.12,3.48,1.98
Serie_A 2025_101_95_2025-12-29 19:45:00,2025-12-29 19:45:00,False,101,Genoa,l,95,Roma,0.510864,1,307,31,3,0.3911,0.510864,1.86118,3,207,21,13,1.86118,10,16,6.32,3.73,1.64
Serie_A 2025_101_291_2026-01-03 14:00:00,2026-01-03 14:00:00,True,101,Genoa,d,291,Pisa,0.569456,1,115,13,4,0.5311,0.569456,1.5538,1,228,29,5,1.5538,12,10,1.91,3.2,5.05
Serie_A 2025_101_111_2026-01-08 19:45:00,2026-01-08 19:45:00,False,101,Genoa,d,111,AC Milan,1.43745,1,270,7,0,0.9027999999999999,0.676154,2.11615,1,222,25,18,2.11615,7,32,8.31,4.47,1.44
Serie_A 2025_101_116_2026-01-12 17:30:00,2026-01-12 17:30:00,True,101,Genoa,w,116,Cagliari,1.26155,3,305,22,1,1.5891000000000002,1.26155,1.00677,0,249,26,4,1.00677,11,15,2.12,2.97,4.44
Serie_A 2025_101_230_2026-01-18 11:30:00,2026-01-18 11:30:00,False,101,Genoa,d,230,Parma Calcio 1913,1.07465,0,216,33,3,1.8876,1.07465,0.463872,0,216,17,5,0.463872,11,14,3.0,2.55,2.9
Serie_A 2025_101_97_2026-01-25 14:00:00,2026-01-25 14:00:00,True,101,Genoa,w,97,Bologna,0.706857,3,181,16,4,1.4313,0.706857,0.591952,2,185,20,11,0.591952,8,13,3.0,3.0,2.6
Serie_A 2025_101_96_2026-01-30 19:45:00,2026-01-30 19:45:00,False,101,Genoa,l,96,Lazio,1.83307,2,262,17,1,1.1542999999999999,1.07177,2.06649,3,308,16,7,0.543893,16,14,4.0,2.88,2.2
Serie_A 2025_101_105_2026-02-07 17:00:00,2026-02-07 17:00:00,True,101,Genoa,l,105,Napoli,1.32462,2,335,28,4,0.8835999999999999,0.56332,1.89784,3,159,16,5,1.13654,12,14,4.5,3.2,1.95
Serie_A 2025_101_272_2026-02-15 14:00:00,2026-02-15 14:00:00,False,101,Genoa,d,272,Cremonese,1.33514,0,113,18,9,1.3519999999999999,1.33514,1.34717,0,340,18,6,1.34717,19,19,2.45,3.0,3.2
