match_id,date,is_home,team_id,team_name,result,opponent_id,opponent_name,team_xG,team_goals,team_ppda_att,team_ppda_def,team_deep,team_xpts,team_npxG,opponent_xG,opponent_goals,opponent_ppda_att,opponent_ppda_def,opponent_deep,opponent_npxG,team_shots,opponent_shots,team_win_odds_open,draw_odds_open,opponent_win_odds_open
Serie_A 2025_230_98_2025-08-24 18:45:00,2025-08-24 18:45:00,True,98,Juventus,w,230,Parma Calcio 1913,2.74202,2,155,21,11,2.6380999999999997,2.74202,0.815567,0,231,21,3,0.815567,25,8,1.43,4.8,7.58
Serie_A 2025_101_98_2025-08-31 16:30:00,2025-08-31 16:30:00,False,98,Juventus,w,101,Genoa,1.55128,1,195,34,2,2.2237999999999998,1.55128,0.593013,0,269,27,2,0.593013,13,10,1.9,3.48,4.51
Serie_A 2025_106_98_2025-09-13 16:00:00,2025-09-13 16:00:00,True,98,Juventus,w,106,Inter,0.768943,4,216,19,4,1.0951,0.768943,1.01628,3,214,20,10,1.01628,12,18,2.84,3.07,2.82
Serie_A 2025_94_98_2025-09-20 16:00:00,2025-09-20 16:00:00,False,98,Juventus,d,94,Verona,0.470357,1,82,15,7,0.3851,0.470357,1.65885,1,311,20,4,0.897552,10,14,1.57,3.98,6.7
Serie_A 2025_107_98_2025-09-27 16:00:00,2025-09-27 16:00:00,True,98,Juventus,d,107,Atalanta,1.84242,1,180,20,10,2.1081,1.84242,0.885278,1,344,11,1,0.885278,24,12,1.88,3.71,4.28
Serie_A 2025_111_98_2025-10-05 18:45:00,2025-10-05 18:45:00,True,98,Juventus,d,111,AC Milan,0.570595,0,300,14,6,0.5392,0.570595,1.55707,0,287,13,3,0.795771,12,13,2.78,3.21,2.76
Serie_A 2025_286_98_2025-10-19 10:30:00,2025-10-19 10:30:00,False,98,Juventus,l,286,Como,0.964723,0,201,30,7,0.7819,0.964723,1.68785,2,290,34,5,1.68785,15,12,2.54,3.25,3.01
Serie_A 2025_96_98_2025-10-26 18:45:00,2025-10-26 18:45:00,False,98,Juventus,l,96,Lazio,1.24614,0,202,28,7,1.6278000000000001,1.24614,0.905304,1,298,11,2,0.905304,14,13,2.38,3.12,3.42
Serie_A 2025_98_99_2025-10-29 16:30:00,2025-10-29 16:30:00,True,98,Juventus,w,99,Udinese,3.30641,3,207,22,7,2.8508000000000004,1.78381,0.604108,1,264,13,1,0.604108,25,8,1.47,4.5,7.44
Serie_A 2025_272_98_2025-11-01 19:45:00,2025-11-01 19:45:00,False,98,Juventus,w,272,Cremonese,2.61402,2,317,15,9,2.6799,2.61402,0.611392,1,249,21,3,0.611392,15,9,1.52,4.32,6.84
Serie_A 2025_113_98_2025-11-08 17:00:00,2025-11-08 17:00:00,True,98,Juventus,d,113,Torino,1.93707,0,170,28,4,2.5071999999999997,1.93707,0.405589,0,428,10,2,0.405589,22,8,1.51,4.16,7.34
Serie_A 2025_110_98_2025-11-22 17:00:00,2025-11-22 17:00:00,False,98,Juventus,d,110,Fiorentina,1.65053,1,213,19,7,2.1427,1.65053,0.659308,1,295,14,3,0.659308,17,11,2.03,3.47,3.94
Serie_A 2025_116_98_2025-11-29 17:00:00,2025-11-29 17:00:00,True,98,Juventus,w,116,Cagliari,1.5343,2,314,31,10,1.8613,1.5343,0.891103,1,358,19,2,0.891103,14,5,1.33,5.44,9.97
Serie_A 2025_105_98_2025-12-07 19:45:00,2025-12-07 19:45:00,False,98,Juventus,l,105,Napoli,0.24335,1,262,17,5,0.1273,0.24335,2.1655,2,315,25,1,2.1655,5,9,3.38,2.97,2.49
Serie_A 2025_97_98_2025-12-14 19:45:00,2025-12-14 19:45:00,False,98,Juventus,w,97,Bologna,2.07145,1,292,16,14,2.1915999999999998,2.07145,0.97387,0,260,19,3,0.97387,13,11,2.62,3.2,2.95
Serie_A 2025_95_98_2025-12-20 19:45:00,2025-12-20 19:45:00,True,98,Juventus,w,95,Roma,3.09592,2,306,18,9,2.5178000000000003,3.09592,1.28421,1,199,24,13,1.28421,13,14,1.99,3.31,4.34
Serie_A 2025_291_98_2025-12-27 19:45:00,2025-12-27 19:45:00,False,98,Juventus,w,291,Pisa,1.2875,2,173,19,19,1.9498,1.2875,0.64162,0,239,18,5,0.64162,15,8,1.47,4.61,7.05
Serie_A 2025_243_98_2026-01-03 17:00:00,2026-01-03 17:00:00,True,98,Juventus,d,243,Lecce,3.59395,1,145,23,20,2.9657,2.83265,0.176301,1,316,16,0,0.176301,25,6,1.28,5.77,12.37
Serie_A 2025_104_98_2026-01-06 19:45:00,2026-01-06 19:45:00,False,98,Juventus,w,104,Sassuolo,2.90778,3,279,31,11,2.9234999999999998,2.90778,0.203716,0,277,6,3,0.203716,17,7,1.73,3.74,5.3
Serie_A 2025_272_98_2026-01-12 19:45:00,2026-01-12 19:45:00,True,98,Juventus,w,272,Cremonese,3.2309,5,254,26,13,2.6647,2.33463,1.1134,0,334,8,3,1.1134,18,9,1.25,6.33,11.48
Serie_A 2025_116_98_2026-01-17 19:45:00,2026-01-17 19:45:00,False,98,Juventus,l,116,Cagliari,0.872689,0,95,22,8,1.9818,0.872689,0.176118,1,307,15,1,0.176118,21,3,1.5,4.2,6.25
Serie_A 2025_105_98_2026-01-25 17:00:00,2026-01-25 17:00:00,True,98,Juventus,w,105,Napoli,1.54679,3,398,33,11,2.3109999999999995,1.54679,0.421726,0,203,17,10,0.421726,12,9,2.05,3.2,4.0
Serie_A 2025_230_98_2026-02-01 19:45:00,2026-02-01 19:45:00,False,98,Juventus,w,230,Parma Calcio 1913,3.51941,4,214,21,15,2.9370999999999996,3.51941,0.598397,1,296,22,5,0.598397,15,10,1.45,4.33,7.5
Serie_A 2025_96_98_2026-02-08 19:45:00,2026-02-08 19:45:00,True,98,Juventus,d,96,Lazio,2.85607,2,246,19,17,2.5765,2.85607,0.808824,2,362,16,6,0.808824,34,9,1.48,4.2,7.5
Serie_A 2025_106_98_2026-02-14 19:45:00,2026-02-14 19:45:00,False,98,Juventus,l,106,Inter,1.29499,2,255,11,4,0.6396,1.29499,2.4811,3,220,27,15,2.4811,11,21,4.1,3.4,1.95
Serie_A 2025_286_98_2026-02-21 14:00:00,2026-02-21 14:00:00,True,98,Juventus,l,286,Como,1.01425,0,281,15,6,0.9978,1.01425,1.43181,2,310,21,5,1.43181,11,11,2.0,3.4,3.7
Serie_A 2025_95_98_2026-03-01 19:45:00,2026-03-01 19:45:00,False,98,Juventus,d,95,Roma,1.8583,3,229,17,4,1.0328,1.8583,2.33059,3,305,29,9,2.33059,13,11,2.88,3.1,2.63
Serie_A 2025_291_98_2026-03-07 19:45:00,2026-03-07 19:45:00,True,98,Juventus,w,291,Pisa,3.16811,4,196,17,14,2.8799,3.16811,0.319971,0,303,15,5,0.319971,25,7,1.25,6.25,11.0
Serie_A 2025_98_99_2026-03-14 19:45:00,2026-03-14 19:45:00,False,98,Juventus,w,99,Udinese,3.18734,1,259,26,17,2.785,3.18734,0.741965,0,245,14,5,0.741965,22,10,1.55,4.2,5.75
Serie_A 2025_104_98_2026-03-21 19:45:00,2026-03-21 19:45:00,True,98,Juventus,d,104,Sassuolo,2.25457,1,147,19,23,2.3872999999999998,1.49327,0.845538,1,278,14,5,0.845538,18,7,1.33,5.25,9.0
Serie_A 2025_101_98_2026-04-06 16:00:00,2026-04-06 16:00:00,True,98,Juventus,w,101,Genoa,2.60276,2,232,14,16,2.2707,2.60276,1.48807,0,362,19,3,0.726768,16,12,1.38,4.5,9.5
