match_id,date,is_home,team_id,team_name,result,opponent_id,opponent_name,team_xG,team_goals,team_ppda_att,team_ppda_def,team_deep,team_xpts,team_npxG,opponent_xG,opponent_goals,opponent_ppda_att,opponent_ppda_def,opponent_deep,opponent_npxG,team_shots,opponent_shots,team_win_odds_open,draw_odds_open,opponent_win_odds_open
Serie_A 2025_101_243_2025-08-23 16:30:00,2025-08-23 16:30:00,False,243,Lecce,d,101,Genoa,0.55094,0,274,34,4,1.2407,0.55094,0.56563,0,125,23,3,0.56563,7,5,4.47,3.43,1.93
Serie_A 2025_111_243_2025-08-29 18:45:00,2025-08-29 18:45:00,True,243,Lecce,l,111,AC Milan,0.481693,0,305,14,7,0.3023,0.481693,2.13175,2,214,10,11,2.13175,7,14,6.32,3.93,1.62
Serie_A 2025_107_243_2025-09-14 13:00:00,2025-09-14 13:00:00,False,243,Lecce,l,107,Atalanta,0.532382,1,274,15,4,0.2049,0.532382,2.62415,4,155,20,12,2.62415,12,19,7.5,5.07,1.41
Serie_A 2025_116_243_2025-09-19 18:45:00,2025-09-19 18:45:00,True,243,Lecce,l,116,Cagliari,1.13998,1,222,22,4,0.5752,1.13998,2.21034,2,222,25,10,1.44904,11,15,2.91,2.96,2.85
Serie_A 2025_243_97_2025-09-28 16:00:00,2025-09-28 16:00:00,True,243,Lecce,d,97,Bologna,2.09017,2,315,23,6,1.7630999999999997,2.09017,1.5908,2,118,24,8,0.829502,12,14,4.17,3.19,2.08
Serie_A 2025_230_243_2025-10-04 13:00:00,2025-10-04 13:00:00,False,243,Lecce,w,230,Parma Calcio 1913,0.622459,1,269,15,3,0.9052,0.622459,1.08896,0,116,16,5,1.08896,7,10,4.45,3.68,1.85
Serie_A 2025_104_243_2025-10-18 13:00:00,2025-10-18 13:00:00,True,243,Lecce,d,104,Sassuolo,0.66998,0,233,21,3,1.1698,0.66998,0.77146,0,219,21,2,0.77146,11,9,3.03,3.12,2.62
Serie_A 2025_243_99_2025-10-25 13:00:00,2025-10-25 13:00:00,False,243,Lecce,l,99,Udinese,0.373551,2,190,32,0,0.4149,0.373551,1.51576,3,244,27,7,1.51576,13,8,4.86,3.42,1.86
Serie_A 2025_105_243_2025-10-28 16:30:00,2025-10-28 16:30:00,True,243,Lecce,l,105,Napoli,1.02929,0,335,28,1,1.4752999999999998,0.267994,0.92446,1,206,27,7,0.92446,7,14,7.2,3.94,1.56
Serie_A 2025_110_243_2025-11-02 14:00:00,2025-11-02 14:00:00,False,243,Lecce,w,110,Fiorentina,1.3239,1,278,25,0,1.3508,1.3239,1.38997,0,126,17,9,1.38997,11,15,5.74,3.85,1.66
Serie_A 2025_243_94_2025-11-08 14:00:00,2025-11-08 14:00:00,True,243,Lecce,d,94,Verona,0.555045,0,119,22,3,1.1031,0.555045,0.691863,0,193,28,5,0.691863,11,5,2.83,2.88,3.02
Serie_A 2025_243_96_2025-11-23 17:00:00,2025-11-23 17:00:00,False,243,Lecce,l,96,Lazio,0.544669,0,476,20,2,0.5979,0.544669,1.49492,2,207,20,10,1.49492,5,19,6.34,3.75,1.63
Serie_A 2025_113_243_2025-11-30 11:30:00,2025-11-30 11:30:00,True,243,Lecce,w,113,Torino,0.948606,2,191,19,7,0.5316,0.948606,2.0632,1,155,25,3,1.3019,10,15,3.08,2.99,2.67
Serie_A 2025_243_272_2025-12-07 11:30:00,2025-12-07 11:30:00,False,243,Lecce,l,272,Cremonese,1.37526,0,179,31,4,0.7921,1.37526,2.08254,2,157,18,4,1.32124,9,11,3.3,3.05,2.49
Serie_A 2025_243_291_2025-12-12 19:45:00,2025-12-12 19:45:00,True,243,Lecce,w,291,Pisa,2.79987,1,218,24,7,2.8470999999999997,2.79987,0.303651,0,206,7,3,0.303651,21,5,2.54,2.9,3.45
Serie_A 2025_243_286_2025-12-27 14:00:00,2025-12-27 14:00:00,True,243,Lecce,l,286,Como,1.15442,0,315,29,4,0.5089,1.15442,2.33352,3,120,26,7,2.33352,11,12,4.88,3.49,1.84
Serie_A 2025_243_98_2026-01-03 17:00:00,2026-01-03 17:00:00,False,243,Lecce,d,98,Juventus,0.176301,1,316,16,0,0.018500000000000003,0.176301,3.59395,1,145,23,20,2.83265,6,25,12.37,5.77,1.28
Serie_A 2025_243_95_2026-01-06 17:00:00,2026-01-06 17:00:00,True,243,Lecce,l,95,Roma,0.604725,0,191,22,2,0.36860000000000004,0.604725,1.89163,2,200,33,5,1.89163,6,10,5.49,3.51,1.77
Serie_A 2025_230_243_2026-01-11 11:30:00,2026-01-11 11:30:00,True,243,Lecce,l,230,Parma Calcio 1913,0.842154,1,261,22,3,0.8271,0.842154,1.46392,2,145,27,3,1.46392,10,12,2.8,2.98,2.94
Serie_A 2025_106_243_2026-01-14 19:45:00,2026-01-14 19:45:00,False,243,Lecce,l,106,Inter,0.468829,0,273,14,2,0.3629,0.468829,1.91676,1,117,22,12,1.91676,10,21,20.01,9.03,1.14
Serie_A 2025_111_243_2026-01-18 19:45:00,2026-01-18 19:45:00,False,243,Lecce,l,111,AC Milan,0.1816,0,446,19,1,0.040900000000000006,0.1816,3.17447,1,179,19,13,3.17447,4,20,13.0,5.0,1.29
Serie_A 2025_243_96_2026-01-24 19:45:00,2026-01-24 19:45:00,True,243,Lecce,d,96,Lazio,0.601024,0,369,34,4,1.146,0.601024,0.716991,0,182,14,3,0.716991,15,6,4.0,3.0,2.1
Serie_A 2025_113_243_2026-02-01 11:30:00,2026-02-01 11:30:00,False,243,Lecce,l,113,Torino,0.468464,0,179,21,2,0.21130000000000002,0.468464,2.48263,1,193,19,5,2.48263,14,17,4.5,3.1,1.95
Serie_A 2025_243_99_2026-02-08 14:00:00,2026-02-08 14:00:00,True,243,Lecce,w,99,Udinese,2.18624,2,182,26,7,2.3838,2.18624,0.895031,1,167,27,4,0.133732,16,6,3.1,2.88,2.63
Serie_A 2025_116_243_2026-02-16 19:45:00,2026-02-16 19:45:00,False,243,Lecce,w,116,Cagliari,1.76359,2,257,30,4,1.5695999999999999,1.76359,1.46951,0,146,18,2,1.46951,13,11,3.75,3.0,2.2
Serie_A 2025_106_243_2026-02-21 17:00:00,2026-02-21 17:00:00,True,243,Lecce,l,106,Inter,0.127863,0,357,23,2,0.0668,0.127863,2.6436,2,156,19,10,2.6436,3,24,7.0,4.33,1.48
Serie_A 2025_243_286_2026-02-28 14:00:00,2026-02-28 14:00:00,False,243,Lecce,l,286,Como,0.424994,1,423,19,0,0.10060000000000001,0.424994,2.98622,3,137,21,6,2.98622,5,12,9.5,4.5,1.38
Serie_A 2025_243_272_2026-03-08 11:30:00,2026-03-08 11:30:00,True,243,Lecce,w,272,Cremonese,1.76705,2,189,27,6,2.2236000000000002,1.00575,0.791422,1,105,27,5,0.791422,9,10,2.1,3.0,4.0
Serie_A 2025_105_243_2026-03-14 17:00:00,2026-03-14 17:00:00,False,243,Lecce,l,105,Napoli,1.22692,1,394,18,1,1.4348,1.22692,1.13114,2,112,19,7,1.13114,12,12,10.0,4.75,1.33
Serie_A 2025_243_95_2026-03-22 17:00:00,2026-03-22 17:00:00,False,243,Lecce,l,95,Roma,0.807003,0,328,31,4,1.1173,0.807003,1.09359,1,147,19,10,1.09359,8,14,8.0,3.75,1.53
Serie_A 2025_107_243_2026-04-06 13:00:00,2026-04-06 13:00:00,True,243,Lecce,l,107,Atalanta,0.364274,0,271,25,6,0.1271,0.364274,2.81595,3,138,24,16,2.81595,11,16,5.0,3.75,1.75
Serie_A 2025_243_97_2026-04-12 16:00:00,2026-04-12 16:00:00,False,243,Lecce,l,97,Bologna,0.53637,0,293,25,3,0.11410000000000001,0.53637,2.5824,2,154,23,8,2.5824,6,12,4.75,3.4,1.8
Serie_A 2025_110_243_2026-04-20 18:45:00,2026-04-20 18:45:00,True,243,Lecce,d,110,Fiorentina,1.80861,1,210,24,6,1.8013000000000001,1.80861,1.26455,1,151,21,2,1.26455,14,5,3.4,3.4,2.15
Serie_A 2025_243_94_2026-04-25 18:45:00,2026-04-25 18:45:00,False,243,Lecce,d,94,Verona,1.20604,0,168,28,3,2.2428,1.20604,0.249294,0,187,20,4,0.249294,12,6,2.88,3.0,2.7
Serie_A 2025_243_291_2026-05-01 18:45:00,2026-05-01 18:45:00,False,243,Lecce,w,291,Pisa,1.35936,2,237,26,5,0.8170999999999999,1.35936,2.06716,1,122,20,5,2.06716,7,17,2.3,3.0,3.5
Serie_A 2025_243_98_2026-05-09 18:45:00,2026-05-09 18:45:00,True,243,Lecce,l,98,Juventus,0.607959,0,266,21,3,0.45089999999999997,0.607959,1.95698,1,134,28,11,1.95698,8,15,6.25,4.5,1.45
Serie_A 2025_104_243_2026-05-17 18:45:00,2026-05-17 18:45:00,False,243,Lecce,w,104,Sassuolo,1.29547,3,339,20,4,0.3923,1.29547,3.04719,2,85,19,11,3.04719,11,15,2.63,3.2,2.7
Serie_A 2025_101_243_2026-05-24 18:45:00,2026-05-24 18:45:00,True,243,Lecce,w,101,Genoa,2.21387,1,341,14,3,2.4473000000000003,2.21387,0.782331,0,123,15,4,0.782331,9,8,1.75,3.5,5.0
