match_id,date,is_home,team_id,team_name,result,opponent_id,opponent_name,team_xG,team_goals,team_ppda_att,team_ppda_def,team_deep,team_xpts,team_npxG,opponent_xG,opponent_goals,opponent_ppda_att,opponent_ppda_def,opponent_deep,opponent_npxG,team_shots,opponent_shots,team_win_odds_open,draw_odds_open,opponent_win_odds_open
Serie_A 2025_95_97_2025-08-23 18:45:00,2025-08-23 18:45:00,True,95,Roma,w,97,Bologna,1.47691,1,255,32,5,2.2535000000000003,1.47691,0.443508,0,244,20,0,0.443508,14,10,2.13,3.32,3.79
Serie_A 2025_291_95_2025-08-30 18:45:00,2025-08-30 18:45:00,False,95,Roma,w,291,Pisa,0.953921,1,133,29,12,1.5916,0.953921,0.6627,0,296,12,3,0.6627,10,7,1.74,3.76,5.15
Serie_A 2025_113_95_2025-09-14 10:30:00,2025-09-14 10:30:00,True,95,Roma,l,113,Torino,1.02943,0,102,19,6,1.5002999999999997,1.02943,0.805089,1,311,14,2,0.805089,22,8,1.52,4.24,6.88
Serie_A 2025_95_96_2025-09-21 10:30:00,2025-09-21 10:30:00,False,95,Roma,w,96,Lazio,1.22639,1,221,36,8,1.839,1.22639,0.666967,0,194,18,3,0.666967,13,10,2.67,3.12,2.96
Serie_A 2025_94_95_2025-09-28 13:00:00,2025-09-28 13:00:00,True,95,Roma,w,94,Verona,1.30542,2,140,19,5,1.3046000000000002,1.30542,1.35351,0,227,27,1,1.35351,10,12,1.47,4.41,7.5
Serie_A 2025_110_95_2025-10-05 13:00:00,2025-10-05 13:00:00,False,95,Roma,w,110,Fiorentina,1.22512,2,226,31,8,1.4862,1.22512,1.11719,1,274,21,2,1.11719,8,11,2.5,3.26,3.07
Serie_A 2025_106_95_2025-10-18 18:45:00,2025-10-18 18:45:00,True,95,Roma,l,106,Inter,2.1538,0,211,24,4,2.2299999999999995,2.1538,0.96386,1,306,35,5,0.96386,15,12,3.45,3.22,2.31
Serie_A 2025_104_95_2025-10-26 13:00:00,2025-10-26 13:00:00,False,95,Roma,w,104,Sassuolo,2.25968,1,175,18,9,2.2989,2.25968,0.949353,0,265,22,9,0.949353,15,11,1.88,3.56,4.5
Serie_A 2025_230_95_2025-10-29 16:30:00,2025-10-29 16:30:00,True,95,Roma,w,230,Parma Calcio 1913,1.15685,2,213,26,8,1.2966000000000002,1.15685,1.17796,1,291,15,4,1.17796,18,8,1.54,4.08,6.92
Serie_A 2025_111_95_2025-11-02 19:45:00,2025-11-02 19:45:00,False,95,Roma,l,111,AC Milan,1.95443,0,188,20,9,0.36860000000000004,1.19313,3.76419,1,265,8,8,3.76419,20,17,3.87,3.21,2.16
Serie_A 2025_95_99_2025-11-09 17:00:00,2025-11-09 17:00:00,True,95,Roma,w,99,Udinese,1.75728,2,224,25,8,2.0496,0.995979,0.928685,0,251,24,5,0.928685,13,10,1.57,4.08,6.47
Serie_A 2025_272_95_2025-11-23 14:00:00,2025-11-23 14:00:00,False,95,Roma,w,272,Cremonese,1.73178,3,255,20,12,1.7216999999999998,1.73178,1.25617,1,217,22,6,1.25617,12,9,1.65,3.9,5.79
Serie_A 2025_105_95_2025-11-30 19:45:00,2025-11-30 19:45:00,True,95,Roma,l,105,Napoli,0.611755,0,239,25,5,0.7202,0.611755,1.33114,1,311,17,2,1.33114,8,8,2.7,2.92,3.12
Serie_A 2025_116_95_2025-12-07 14:00:00,2025-12-07 14:00:00,False,95,Roma,l,116,Cagliari,0.451691,0,198,20,7,0.5702,0.451691,1.40358,1,247,26,4,1.40358,6,15,1.7,3.76,5.5
Serie_A 2025_286_95_2025-12-15 19:45:00,2025-12-15 19:45:00,True,95,Roma,w,286,Como,1.65562,1,204,33,17,2.1713,1.65562,0.635872,0,221,18,5,0.635872,14,13,2.22,3.19,3.7
Serie_A 2025_95_98_2025-12-20 19:45:00,2025-12-20 19:45:00,False,95,Roma,l,98,Juventus,1.28421,1,199,24,13,0.347,1.28421,3.09592,2,306,18,9,3.09592,14,13,4.34,3.31,1.99
Serie_A 2025_101_95_2025-12-29 19:45:00,2025-12-29 19:45:00,True,95,Roma,w,101,Genoa,1.86118,3,207,21,13,2.4275,1.86118,0.510864,1,307,31,3,0.510864,16,10,1.64,3.73,6.32
Serie_A 2025_107_95_2026-01-03 19:45:00,2026-01-03 19:45:00,False,95,Roma,l,107,Atalanta,1.01018,0,164,24,12,0.2421,1.01018,2.73637,1,266,22,3,2.73637,10,13,3.48,3.17,2.32
Serie_A 2025_243_95_2026-01-06 17:00:00,2026-01-06 17:00:00,False,95,Roma,w,243,Lecce,1.89163,2,200,33,5,2.4491,1.89163,0.604725,0,191,22,2,0.604725,10,6,1.77,3.51,5.49
Serie_A 2025_104_95_2026-01-10 17:00:00,2026-01-10 17:00:00,True,95,Roma,w,104,Sassuolo,2.95843,2,195,36,21,2.6376999999999997,2.95843,0.858537,0,308,25,4,0.858537,26,5,1.54,4.2,6.6
Serie_A 2025_113_95_2026-01-18 17:00:00,2026-01-18 17:00:00,False,95,Roma,w,113,Torino,2.02736,2,137,14,10,2.589,2.02736,0.394429,0,254,29,7,0.394429,14,8,2.15,3.1,3.75
Serie_A 2025_111_95_2026-01-25 19:45:00,2026-01-25 19:45:00,True,95,Roma,d,111,AC Milan,2.13573,1,282,32,10,2.5371,1.37443,0.583212,1,243,15,1,0.583212,15,5,2.63,3.1,2.88
Serie_A 2025_95_99_2026-02-02 19:45:00,2026-02-02 19:45:00,False,95,Roma,l,99,Udinese,0.668752,0,170,33,7,1.2421,0.668752,0.642594,1,329,24,1,0.642594,10,8,1.91,3.4,4.33
Serie_A 2025_116_95_2026-02-09 19:45:00,2026-02-09 19:45:00,True,95,Roma,w,116,Cagliari,2.20426,2,330,34,4,2.5781,2.20426,0.613133,0,272,10,1,0.613133,15,3,1.48,4.1,7.5
Serie_A 2025_105_95_2026-02-15 19:45:00,2026-02-15 19:45:00,False,95,Roma,d,105,Napoli,1.95442,2,364,26,4,2.5387999999999997,1.19312,0.5247,2,218,17,6,0.5247,9,11,3.5,3.0,2.3
Serie_A 2025_272_95_2026-02-22 19:45:00,2026-02-22 19:45:00,True,95,Roma,w,272,Cremonese,2.58194,3,190,21,7,2.7865,2.58194,0.280739,0,235,13,0,0.280739,23,2,1.36,4.5,10.0
Serie_A 2025_95_98_2026-03-01 19:45:00,2026-03-01 19:45:00,True,95,Roma,d,98,Juventus,2.33059,3,305,29,9,1.7189,2.33059,1.8583,3,229,17,4,1.8583,11,13,2.63,3.1,2.88
Serie_A 2025_101_95_2026-03-08 17:00:00,2026-03-08 17:00:00,False,95,Roma,l,101,Genoa,0.282645,1,95,18,7,0.0631,0.282645,2.55911,2,231,27,7,1.79782,8,11,1.91,3.4,4.2
Serie_A 2025_286_95_2026-03-15 17:00:00,2026-03-15 17:00:00,False,95,Roma,l,286,Como,0.899976,1,342,31,2,0.32730000000000004,0.138677,2.46908,2,170,18,15,2.46908,3,22,3.6,3.3,2.1
Serie_A 2025_243_95_2026-03-22 17:00:00,2026-03-22 17:00:00,True,95,Roma,w,243,Lecce,1.09359,1,147,19,10,1.5568000000000002,1.09359,0.807003,0,328,31,4,0.807003,14,8,1.53,3.75,8.0
Serie_A 2025_106_95_2026-04-05 18:45:00,2026-04-05 18:45:00,False,95,Roma,l,106,Inter,0.939981,2,310,22,6,0.48640000000000005,0.939981,2.25441,5,228,20,14,2.25441,9,17,5.25,4.0,1.67
Serie_A 2025_291_95_2026-04-10 18:45:00,2026-04-10 18:45:00,True,95,Roma,w,291,Pisa,1.45084,3,241,31,6,1.7222,1.45084,1.06318,0,359,19,3,1.06318,8,9,1.33,5.0,9.0
Serie_A 2025_107_95_2026-04-18 18:45:00,2026-04-18 18:45:00,True,95,Roma,d,107,Atalanta,1.70941,1,287,16,9,2.1949,1.70941,0.660238,1,304,19,5,0.660238,19,8,2.45,3.25,2.9
Serie_A 2025_95_97_2026-04-25 16:00:00,2026-04-25 16:00:00,False,95,Roma,w,97,Bologna,1.65629,2,335,23,1,2.3745000000000003,1.65629,0.479083,0,186,18,6,0.479083,7,10,2.4,3.2,3.1
Serie_A 2025_110_95_2026-05-04 18:45:00,2026-05-04 18:45:00,True,95,Roma,w,110,Fiorentina,2.84317,4,230,27,8,2.9556,2.84317,0.132194,0,369,20,4,0.132194,14,4,1.62,4.2,5.0
Serie_A 2025_230_95_2026-05-10 16:00:00,2026-05-10 16:00:00,False,95,Roma,w,230,Parma Calcio 1913,3.02085,3,149,21,12,2.7858,2.25955,0.636151,2,241,18,6,0.636151,15,11,1.53,4.1,6.25
Serie_A 2025_95_96_2026-05-17 10:30:00,2026-05-17 10:30:00,True,95,Roma,w,96,Lazio,1.31805,2,251,24,4,1.7861,1.31805,0.766648,0,300,24,3,0.766648,16,6,1.53,4.0,5.75
Serie_A 2025_94_95_2026-05-24 18:45:00,2026-05-24 18:45:00,False,95,Roma,w,94,Verona,3.55506,2,134,16,17,2.8931999999999998,2.79377,0.597669,0,339,19,5,0.597669,19,8,1.3,5.5,10.0
