snapshot_key,prediction_generated_at_utc,portfolio_name,date,league,team_name,opponent_name,selected_outcome,selected_odds,predicted_probability,market_probability,edge,expected_value,strategy_names,stake_eur,result_status,closing_selected_odds,realized_profit,actual_result,actual_outcome,match_found,realized_profit_units,raw_model_probability,value_score,raw_expected_value,probability_note,train_max_season,recommended,actual_home_score,actual_away_score
validation_multi_strategy_portfolio_2024|2026-03-15 17:30:00|EPL|Liverpool|Tottenham|draw|epl_draw_wide_nonfavorite,2026-03-12T19:33:37.649592+00:00,validation_multi_strategy_portfolio_2024,2026-03-15 17:30:00,EPL,Liverpool,Tottenham,draw,6.05,0.3228465914726257,0.1637334644566917,0.159113127015934,0.9532218784093855,epl_draw_wide_nonfavorite,2.5,won,,12.625,d,draw,True,5.05,,,,,,,1.0,1.0
validation_multi_strategy_portfolio_2024|2026-03-16 21:00:00|La_liga|Rayo Vallecano|Levante|draw|laliga_draw_mid_nonfavorite,2026-03-12T19:33:37.649592+00:00,validation_multi_strategy_portfolio_2024,2026-03-16 21:00:00,La_liga,Rayo Vallecano,Levante,draw,3.94,0.4027064144611358,0.2501035613923129,0.1526028530688229,0.5866632729768753,laliga_draw_mid_nonfavorite,2.5,won,,7.35,d,draw,True,2.94,,,,,,,1.0,1.0
validation_multi_strategy_portfolio_2024|2026-03-14 18:00:00|Serie_A|Napoli|Lecce|draw|serie_a_draw_wide_nonfavorite,2026-03-12T19:33:37.649592+00:00,validation_multi_strategy_portfolio_2024,2026-03-14 18:00:00,Serie_A,Napoli,Lecce,draw,4.86,0.401881992816925,0.2027242691143106,0.1991577237026144,0.9531464850902558,serie_a_draw_wide_nonfavorite,2.5,lost,,-2.5,w,home_win,True,-1.0,,,,,,,2.0,1.0
validation_multi_strategy_portfolio_2024|2026-03-14 15:00:00|Serie_A|Inter|Atalanta|draw|serie_a_draw_wide_nonfavorite,2026-03-12T19:33:37.649592+00:00,validation_multi_strategy_portfolio_2024,2026-03-14 15:00:00,Serie_A,Inter,Atalanta,draw,4.7,0.3478941619396209,0.2114343937507075,0.1364597681889134,0.6351025611162187,serie_a_draw_wide_nonfavorite,2.5,won,,9.25,d,draw,True,3.7,,,,,,,1.0,1.0
exploratory_multi_strategy_portfolio_2025|2026-03-15 15:30:00|Bundesliga|Werder Bremen|Mainz 05|draw|bundesliga_draw_mid_nonfavorite,2026-03-12T19:43:16.359536+00:00,exploratory_multi_strategy_portfolio_2025,2026-03-15 15:30:00,Bundesliga,Werder Bremen,Mainz 05,draw,3.7,0.4500987231731415,0.2663760551675875,0.1837226680055539,0.6653652757406237,bundesliga_draw_mid_nonfavorite,1.79,lost,,-1.79,l,away_win,True,-1.0,,,,,,,0.0,2.0
exploratory_multi_strategy_portfolio_2025|2026-03-15 15:00:00|EPL|Manchester United|Aston Villa|draw|epl_draw_long_nonfavorite,2026-03-12T19:43:16.359536+00:00,exploratory_multi_strategy_portfolio_2025,2026-03-15 15:00:00,EPL,Manchester United,Aston Villa,draw,4.36,0.3636840283870697,0.2261306532663316,0.137553375120738,0.5856623637676239,epl_draw_long_nonfavorite,1.79,lost,,-1.79,w,home_win,True,-1.0,,,,,,,3.0,1.0
exploratory_multi_strategy_portfolio_2025|2026-03-14 21:00:00|EPL|West Ham|Manchester City|draw|epl_draw_long_nonfavorite,2026-03-12T19:43:16.359536+00:00,exploratory_multi_strategy_portfolio_2025,2026-03-14 21:00:00,EPL,West Ham,Manchester City,draw,4.62,0.3138910233974457,0.2138312486443496,0.100059774753096,0.4501765280961991,epl_draw_long_nonfavorite,1.79,won,,6.4798,d,draw,True,3.62,,,,,,,1.0,1.0
exploratory_multi_strategy_portfolio_2025|2026-03-15 17:30:00|EPL|Liverpool|Tottenham|draw|epl_draw_long_nonfavorite,2026-03-12T19:43:16.359536+00:00,exploratory_multi_strategy_portfolio_2025,2026-03-15 17:30:00,EPL,Liverpool,Tottenham,draw,6.05,0.4728024303913116,0.1637334644566917,0.3090689659346199,1.8604547038674355,epl_draw_long_nonfavorite,1.79,won,,9.0395,d,draw,True,5.05,,,,,,,1.0,1.0
exploratory_multi_strategy_portfolio_2025|2026-03-13 20:45:00|Ligue_1|Marseille|Auxerre|draw|ligue1_draw_wide_nonfavorite,2026-03-12T19:43:16.359536+00:00,exploratory_multi_strategy_portfolio_2025,2026-03-13 20:45:00,Ligue_1,Marseille,Auxerre,draw,4.76,0.4759605824947357,0.2087198515769944,0.2672407309177412,1.2655723726749415,ligue1_draw_wide_nonfavorite,1.79,lost,,-1.79,w,home_win,True,-1.0,,,,,,,1.0,0.0
exploratory_multi_strategy_portfolio_2025|2026-03-14 18:00:00|Serie_A|Napoli|Lecce|draw|serie_a_draw_long_nonfavorite,2026-03-12T19:43:16.359536+00:00,exploratory_multi_strategy_portfolio_2025,2026-03-14 18:00:00,Serie_A,Napoli,Lecce,draw,4.86,0.3750687539577484,0.2027242691143106,0.1723444848434378,0.8228341442346574,serie_a_draw_long_nonfavorite,1.79,lost,,-1.79,w,home_win,True,-1.0,,,,,,,2.0,1.0
exploratory_multi_strategy_portfolio_2025|2026-03-13 20:45:00|Serie_A|Torino|Parma Calcio 1913|draw|serie_a_draw_long_nonfavorite,2026-03-12T19:43:16.359536+00:00,exploratory_multi_strategy_portfolio_2025,2026-03-13 20:45:00,Serie_A,Torino,Parma Calcio 1913,draw,4.23,0.4103347659111023,0.2564575491075545,0.1538772168035477,0.7357160598039629,serie_a_draw_long_nonfavorite,1.79,lost,,-1.79,w,home_win,True,-1.0,,,,,,,4.0,1.0
2026-08-15 19:30:00|La_liga|Alaves|Getafe|draw,2026-08-11T20:48:06.083751+00:00,published_dashboard,2026-08-15 19:30:00,La_liga,Alaves,Getafe,draw,2.9,0.4009771,0.3406689499380602,0.0,0.1628336042165756,laliga_draw_mid_nonfavorite,0.0,pending,,,,,False,,0.4009771,0.0603081549642072,0.1628336042165756,raw_xgb_probability_not_calibrated,2025.0,False,,
2026-08-15 21:30:00|La_liga|Sevilla|Rayo Vallecano|draw,2026-08-11T20:48:06.083751+00:00,published_dashboard,2026-08-15 21:30:00,La_liga,Sevilla,Rayo Vallecano,draw,3.37,0.34895408,0.2924470287716642,0.0,0.1759752547740936,laliga_draw_mid_nonfavorite,0.0,pending,,,,,False,,0.34895408,0.0565070527636751,0.1759752547740936,raw_xgb_probability_not_calibrated,2025.0,False,,
2026-08-16 17:00:00|La_liga|Racing Santander|Villarreal|away_win,2026-08-11T20:48:06.083751+00:00,published_dashboard,2026-08-16 17:00:00,La_liga,Racing Santander,Villarreal,away_win,2.35,0.39352024,0.2773823988890818,0.0,0.3661572921276093,laliga_draw_mid_nonfavorite,0.0,pending,,,,,False,,0.37739152,0.1000091182732412,0.3661572921276093,raw_xgb_probability_not_calibrated,2025.0,False,,
